axis,region,samples,successes,failures,success_rate_percent,mean_final_distance
x_region,"(0.349, 0.45]",34,25,9,73.52941176470588,0.04308982702958229
x_region,"(0.45, 0.55]",42,37,5,88.09523809523809,0.03719509384107018
x_region,"(0.55, 0.65]",24,21,3,87.5,0.04030965121152495
y_region,"(-0.251, -0.0833]",25,18,7,72.0,0.04809511482715603
y_region,"(-0.0833, 0.0833]",37,32,5,86.48648648648648,0.037232453557285064
y_region,"(0.0833, 0.25]",38,33,5,86.8421052631579,0.037228974660760444
z_region,"(0.249, 0.333]",33,29,4,87.87878787878788,0.0387523064784931
z_region,"(0.333, 0.417]",36,29,7,80.55555555555556,0.03871308241246471
z_region,"(0.417, 0.5]",31,25,6,80.64516129032258,0.04265105189575299
