episode,success,initial_distance_m,final_distance_m,steps,episode_reward,target_x,target_y,target_z,final_ee_x,final_ee_y,final_ee_z,error_x,error_y,error_z,abs_error_x,abs_error_y,abs_error_z
1,1,0.2533145546913147,0.0348921567201614,22,2.9554080317914484,0.4036804437637329,0.0699565857648849,0.3668170869350433,0.4318939745426178,0.0810686573386192,0.3840792179107666,-0.028213530778884888,-0.011112071573734311,-0.017262130975723322,0.028213530778884888,0.011112071573734311,0.017262130975723322
4,1,0.2902235388755798,0.0341216586530208,26,2.294276663810015,0.4394908249378204,0.2334810942411422,0.4799625277519226,0.4452495276927948,0.2122755944728851,0.4538578987121582,-0.005758702754974421,0.021205499768257086,0.026104629039764404,0.005758702754974421,0.021205499768257086,0.026104629039764404
5,1,0.3395994901657104,0.0342540293931961,27,1.6017948855459698,0.5407612323760986,0.1263660490512848,0.378788411617279,0.5086854100227356,0.1249156296253204,0.3668562471866607,0.03207582235336304,0.0014504194259643832,0.011932164430618286,0.03207582235336304,0.0014504194259643832,0.011932164430618286
6,1,0.387963056564331,0.031758364289999,36,-0.3466341742873187,0.5977685451507568,-0.0258097276091575,0.334703117609024,0.5763781666755676,-0.0047240983694791,0.3450201749801636,0.02139037847518921,-0.0210856292396784,-0.010317057371139582,0.02139037847518921,0.0210856292396784,0.010317057371139582
7,1,0.2798064053058624,0.0314529724419117,19,3.027115737050772,0.4333697557449341,-0.1368334740400314,0.381454199552536,0.4153711199760437,-0.1290489137172699,0.4060456454753876,0.01799863576889038,-0.007784560322761508,-0.024591445922851562,0.01799863576889038,0.007784560322761508,0.024591445922851562
8,1,0.38721764087677,0.0296953935176134,30,0.444730701297523,0.4792736172676086,0.0815903097391128,0.2532101273536682,0.4579726457595825,0.0787770748138427,0.2737081944942474,0.021300971508026068,0.0028132349252700944,-0.020498067140579168,0.021300971508026068,0.0028132349252700944,0.020498067140579168
10,1,0.3470603823661804,0.034459464251995,40,0.7043125378340465,0.5284597277641296,-0.0323434211313724,0.3249978721141815,0.5130836367607117,-0.0241227224469184,0.2952749729156494,0.015376091003417969,-0.008220698684454002,0.029722899198532104,0.015376091003417969,0.008220698684454002,0.029722899198532104
11,1,0.2571662664413452,0.0348861068487167,19,3.2476707258820534,0.4128248393535614,0.1873120218515396,0.4493655860424042,0.4261904060840606,0.1554784774780273,0.4443628489971161,-0.013365566730499212,0.031833544373512324,0.005002737045288086,0.013365566730499212,0.031833544373512324,0.005002737045288086
12,1,0.2595112323760986,0.0338841527700424,35,1.6811880898848184,0.5320128798484802,-0.0774497091770172,0.48670494556427,0.5274962782859802,-0.09767647087574,0.4598979651927948,0.0045166015625,0.020226761698722798,0.02680698037147522,0.0045166015625,0.020226761698722798,0.02680698037147522
13,1,0.2435830384492874,0.0333555527031421,26,2.519178843945265,0.5190132260322571,-0.0336186289787292,0.4751124083995819,0.5018875598907471,-0.054349984973669,0.4553762674331665,0.01712566614151001,0.020731355994939797,0.019736140966415405,0.01712566614151001,0.020731355994939797,0.019736140966415405
