episode,success,initial_distance_m,final_distance_m,steps,episode_reward,target_x,target_y,target_z,final_ee_x,final_ee_y,final_ee_z,error_x,error_y,error_z,abs_error_x,abs_error_y,abs_error_z
2,0,0.2221815735101699,0.0878173634409904,120,-10.29861142358742,0.4611501395702362,-0.0725413337349891,0.4476295709609985,0.4470303356647491,-0.0949952080845832,0.3639137148857116,0.014119803905487116,0.022453874349594102,0.08371585607528687,0.014119803905487116,0.022453874349594102,0.08371585607528687
3,0,0.3953546285629272,0.0861492082476615,120,-12.615539010469806,0.6215431094169617,-0.1613233983516693,0.4131962060928345,0.6968708634376526,-0.1983714699745178,0.3938350081443786,-0.07532775402069092,0.03704807162284848,0.019361197948455866,0.07532775402069092,0.03704807162284848,0.019361197948455866
9,0,0.347709447145462,0.0717872232198715,120,-10.223791944449772,0.4843105673789978,-0.0674095973372459,0.2988494038581848,0.4605730175971985,-0.0627596229314804,0.2312601208686828,0.023737549781799316,-0.004649974405765506,0.06758928298950201,0.023737549781799316,0.004649974405765506,0.06758928298950201
21,0,0.3055932819843292,0.067674919962883,120,-9.415967641742895,0.5058152675628662,-0.0867276713252067,0.3749887645244598,0.489861249923706,-0.1014356687664985,0.3108869791030884,0.015954017639160212,0.014707997441291795,0.0641017854213714,0.015954017639160212,0.014707997441291795,0.0641017854213714
27,0,0.292515218257904,0.1421307623386383,120,-14.999091603197162,0.3570897281169891,-0.1011452749371528,0.3204033672809601,0.3151584267616272,-0.1257481724023819,0.1868458241224289,0.04193130135536188,0.024602897465229104,0.1335575431585312,0.04193130135536188,0.024602897465229104,0.1335575431585312
29,0,0.228421613574028,0.0472013726830482,120,-6.81964440303389,0.3538573682308197,0.0521578751504421,0.3728708326816559,0.3844543099403381,0.0774804651737213,0.3473646938800812,-0.030596941709518377,-0.025322590023279197,0.025506138801574707,0.030596941709518377,0.025322590023279197,0.025506138801574707
31,0,0.3697406351566314,0.093901589512825,120,-12.94673330765218,0.6255190372467041,-0.1558714210987091,0.4855302274227142,0.6987850069999695,-0.2143403440713882,0.4799633026123047,-0.07326596975326538,0.05846892297267908,0.00556692481040949,0.07326596975326538,0.05846892297267908,0.00556692481040949
36,0,0.1507797241210937,0.0461266413331031,120,-5.731720888027921,0.3703143000602722,0.0534071922302246,0.4642696678638458,0.4081806242465973,0.0767910555005073,0.4763941764831543,-0.03786632418632507,-0.023383863270282697,-0.012124508619308472,0.03786632418632507,0.023383863270282697,0.012124508619308472
40,0,0.3263060748577118,0.0479838997125625,120,-7.960766244009138,0.5164308547973633,-0.134150892496109,0.3790206611156463,0.5061643719673157,-0.1509914845228195,0.3352776765823364,0.010266482830047607,0.016840592026710482,0.04374298453330988,0.010266482830047607,0.016840592026710482,0.04374298453330988
59,0,0.4079211354255676,0.0969033390283584,120,-14.57769875392318,0.6308936476707458,-0.2130520194768905,0.4633284211158752,0.6982663869857788,-0.2823678851127624,0.4565106332302093,-0.06737273931503296,0.06931586563587189,0.0068177878856658936,0.06737273931503296,0.06931586563587189,0.0068177878856658936
73,0,0.3109588921070099,0.053067959845066,120,-7.56849808264524,0.4312042593955993,0.2095652520656585,0.396992564201355,0.465659886598587,0.2313733100891113,0.3630304336547851,-0.03445562720298767,-0.021808058023452787,0.03396213054656988,0.03445562720298767,0.021808058023452787,0.03396213054656988
79,0,0.3333393335342407,0.0670485273003578,120,-9.650798077024518,0.4962674081325531,-0.0655978545546531,0.3238164186477661,0.4767652750015259,-0.0640500038862228,0.2596854865550995,0.01950213313102722,-0.0015478506684303006,0.06413093209266663,0.01950213313102722,0.0015478506684303006,0.06413093209266663
85,0,0.2883757054805755,0.0643021613359451,120,-8.534964040666816,0.3830396234989166,0.2079618871212005,0.405517429113388,0.435725450515747,0.2291223704814911,0.3753312528133392,-0.05268582701683039,-0.021160483360290583,0.030186176300048828,0.05268582701683039,0.021160483360290583,0.030186176300048828
90,0,0.2818885743618011,0.0710180252790451,120,-9.328889332301916,0.3549378216266632,0.1878299266099929,0.3856114745140075,0.414514809846878,0.2098260372877121,0.3538260459899902,-0.05957698822021479,-0.0219961106777192,0.031785428524017334,0.05957698822021479,0.0219961106777192,0.031785428524017334
91,0,0.2435418963432312,0.1137378215789794,120,-12.764902684092524,0.3638561069965362,0.2188794612884521,0.4998591244220733,0.4510160386562347,0.2099632918834686,0.4273336827754974,-0.08715993165969849,0.008916169404983493,0.07252544164657593,0.08715993165969849,0.008916169404983493,0.07252544164657593
93,0,0.3267491161823272,0.0617254860699176,120,-9.103872891440988,0.3530695736408233,-0.1957753449678421,0.3327498733997345,0.3708631098270416,-0.2060932666063308,0.2745522260665893,-0.017793536186218317,0.010317921638488686,0.0581976473331452,0.017793536186218317,0.010317921638488686,0.0581976473331452
95,0,0.1725933849811554,0.0497255623340606,120,-6.096681173890829,0.3848313987255096,0.0987319648265838,0.4720080196857452,0.4293668568134308,0.1182259693741798,0.4824582934379577,-0.0445354580879212,-0.01949400454759599,-0.010450273752212524,0.0445354580879212,0.01949400454759599,0.010450273752212524
