episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
1,1,0.40160109208115347,-0.04564697964596612,0.401601105928421,-0.04564698040485382,0.42349785566329956,0.031090382486581802,36,-1.248494868129491,0.402988076210022,-0.05010632425546646,0.21073764562606812,0.401601105928421,-0.04564698040485382,0.18000000715255737
2,1,0.41650412312172735,-0.0008393656948952333,0.4165041148662567,-0.0008393657044507563,0.4246276915073395,0.039486125111579895,35,-1.2125296105444425,0.42212972044944763,-0.017821291461586952,0.21520115435123444,0.4165041148662567,-0.0008393657044507563,0.18000000715255737
3,1,0.4897491266912849,0.08217133737013155,0.48974913358688354,0.08217133581638336,0.456577867269516,0.03588353097438812,35,-1.3265740506350996,0.47657063603401184,0.06367474049329758,0.2077818512916565,0.48974913358688354,0.08217133581638336,0.18000000715255737
4,1,0.459557697440099,0.04850587622487987,0.4595577120780945,0.04850587621331215,0.4403882622718811,0.03500473126769066,35,-1.1813123209774492,0.4566721022129059,0.02939925156533718,0.2091880440711975,0.4595577120780945,0.04850587621331215,0.18000000715255737
5,1,0.5121804686032895,-0.16406090007068094,0.5121804475784302,-0.16406090557575226,0.4871633052825928,0.036263592541217804,42,-2.168999977558851,0.510379433631897,-0.12863804399967194,0.17244850099086761,0.5121804475784302,-0.16406090557575226,0.18000000715255737
6,1,0.40178813681630626,-0.04708781060352557,0.4017881453037262,-0.047087810933589935,0.4236973822116852,0.031155899167060852,36,-1.2491498626768607,0.403092622756958,-0.05113796889781952,0.21086397767066956,0.4017881453037262,-0.047087810933589935,0.18000000715255737
7,1,0.5793918647208859,-0.18842869189511907,0.5793918371200562,-0.18842868506908417,0.5272695422172546,0.0374428890645504,42,-3.0189051002264016,0.5735690593719482,-0.1556129902601242,0.19706445932388306,0.5793918371200562,-0.18842868506908417,0.18000000715255737
8,0,0.5922999157035116,0.09808226245221985,0.5922999382019043,0.09808225929737091,0.5092407464981079,0.05687091499567032,120,-12.244367934018376,0.5707748532295227,0.04544258862733841,0.18019171059131622,0.5922999382019043,0.09808225929737091,0.18000000715255737
9,1,0.5447107441429566,-0.12651634369640555,0.5447107553482056,-0.12651634216308594,0.4907388389110565,0.0374344140291214,37,-1.9308859767019726,0.5277802348136902,-0.09545505046844482,0.19224292039871216,0.5447107553482056,-0.12651634216308594,0.18000000715255737
10,1,0.517427865518869,0.08654306557525482,0.5174278616905212,0.08654306828975677,0.4691295027732849,0.03960757330060005,35,-1.5184429009258729,0.49397212266921997,0.06843848526477814,0.2062833160161972,0.5174278616905212,0.08654306828975677,0.18000000715255737
11,1,0.5818156145450122,-0.18352668224122284,0.5818156003952026,-0.1835266798734665,0.526797890663147,0.034833863377571106,42,-2.978216863423585,0.5742059350013733,-0.15326079726219177,0.1954747438430786,0.5818156003952026,-0.1835266798734665,0.18000000715255737
12,0,0.42037039477676197,0.18792398721717496,0.4203703999519348,0.18792398273944855,0.4652794301509857,0.04872388392686844,120,-11.21384947180748,0.39427945017814636,0.14681734144687653,0.18187707662582397,0.4203703999519348,0.18792398273944855,0.18000000715255737
13,1,0.559219651265042,-0.05645835373094857,0.5592196583747864,-0.056458353996276855,0.4848850965499878,0.03683474287390709,36,-1.8263968189060682,0.5260623693466187,-0.05461115390062332,0.19593676924705505,0.5592196583747864,-0.056458353996276855,0.18000000715255737
14,1,0.4269988600978255,0.05876247033786758,0.4269988536834717,0.05876247212290764,0.4314732551574707,0.03168180584907532,36,-1.2418731674551973,0.4301691949367523,0.03735275939106941,0.20313677191734314,0.4269988536834717,0.05876247212290764,0.18000000715255737
15,1,0.5844105004251848,-0.11642569319929096,0.5844104886054993,-0.11642569303512573,0.5087453126907349,0.03933095559477806,38,-2.415548006594179,0.5528630614280701,-0.09316590428352356,0.18326590955257416,0.5844104886054993,-0.11642569303512573,0.18000000715255737
16,1,0.5454150633793111,-0.12624353988965525,0.5454150438308716,-0.12624354660511017,0.4910101294517517,0.037444401532411575,37,-1.936303790211677,0.5282322764396667,-0.09529584646224976,0.1922096610069275,0.5454150438308716,-0.12624354660511017,0.18000000715255737
17,1,0.5447441789419795,-0.14410097810353595,0.5447441935539246,-0.14410097897052765,0.49557965993881226,0.036969106644392014,39,-2.120483772009613,0.5300712585449219,-0.11019985377788544,0.17853935062885284,0.5447441935539246,-0.14410097897052765,0.18000000715255737
18,1,0.5982733087750536,-0.18045977466494165,0.5982733368873596,-0.18045976758003235,0.5345237255096436,0.035136282444000244,42,-3.180334656834602,0.5840432643890381,-0.15307995676994324,0.19680504500865936,0.5982733368873596,-0.18045976758003235,0.18000000715255737
19,1,0.4715068872183358,0.056465230234544084,0.47150689363479614,0.056465230882167816,0.44560691714286804,0.034618791192770004,35,-1.2102197945117963,0.46477004885673523,0.03755519911646843,0.20820437371730804,0.47150689363479614,0.056465230882167816,0.18000000715255737
20,1,0.5242425187648653,-0.13173740281543844,0.5242425203323364,-0.13173739612102509,0.48255741596221924,0.03746798262000084,37,-1.7871970894932758,0.5130682587623596,-0.09865444153547287,0.19358322024345398,0.5242425203323364,-0.13173739612102509,0.18000000715255737
21,1,0.4198773814156147,-0.07856329229026669,0.41987738013267517,-0.07856329530477524,0.432701051235199,0.03321721404790878,36,-1.2649822330474878,0.41740235686302185,-0.07561727613210678,0.21299362182617188,0.41987738013267517,-0.07856329530477524,0.18000000715255737
22,1,0.44404099722752355,0.09484655835077166,0.444040983915329,0.09484656155109406,0.4428226053714752,0.038772083818912506,35,-1.2871859490871413,0.44604232907295227,0.0749724730849266,0.21323086321353912,0.444040983915329,0.09484656155109406,0.18000000715255737
