episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
1,1,0.40160109208115347,-0.04564697964596612,0.401601105928421,-0.04564698040485382,0.42349785566329956,0.03906302899122238,38,-1.6334855777025235,0.4275248050689697,-0.01980951428413391,0.19364945590496063,0.401601105928421,-0.04564698040485382,0.18000000715255737
2,1,0.41650412312172735,-0.0008393656948952333,0.4165041148662567,-0.0008393657044507563,0.4246276915073395,0.03817932307720184,37,-1.4537958714365953,0.4461233913898468,0.012537108734250069,0.2000357061624527,0.4165041148662567,-0.0008393657044507563,0.18000000715255737
3,1,0.4897491266912849,0.08217133737013155,0.48974913358688354,0.08217133581638336,0.456577867269516,0.038564227521419525,35,-1.3981820355355739,0.4903582036495209,0.0941900834441185,0.2166384905576706,0.48974913358688354,0.08217133581638336,0.18000000715255737
4,1,0.459557697440099,0.04850587622487987,0.4595577120780945,0.04850587621331215,0.4403882622718811,0.03285101056098938,36,-1.2833060467243191,0.47515669465065,0.058491699397563934,0.2071319818496704,0.4595577120780945,0.04850587621331215,0.18000000715255737
5,0,0.5121804686032895,-0.16406090007068094,0.5121804475784302,-0.16406090557575226,0.4871633052825928,0.06019703298807144,120,-12.538041487708687,0.5574235916137695,-0.12435407936573029,0.17967042326927185,0.5121804475784302,-0.16406090557575226,0.18000000715255737
6,1,0.40178813681630626,-0.04708781060352557,0.4017881453037262,-0.047087810933589935,0.4236973822116852,0.039202723652124405,38,-1.6355663475394273,0.42746415734291077,-0.020811086520552635,0.193679541349411,0.4017881453037262,-0.047087810933589935,0.18000000715255737
7,0,0.5793918647208859,-0.18842869189511907,0.5793918371200562,-0.18842868506908417,0.5272695422172546,0.06273499131202698,120,-13.321770246699451,0.6309091448783875,-0.1526290625333786,0.17981703579425812,0.5793918371200562,-0.18842868506908417,0.18000000715255737
8,1,0.5922999157035116,0.09808226245221985,0.5922999382019043,0.09808225929737091,0.5092407464981079,0.03800278529524803,45,-3.039408869892359,0.5629155039787292,0.12154405564069748,0.17449449002742767,0.5922999382019043,0.09808225929737091,0.18000000715255737
9,1,0.5447107441429566,-0.12651634369640555,0.5447107553482056,-0.12651634216308594,0.4907388389110565,0.03891971707344055,38,-2.226852484792471,0.543731689453125,-0.08867710828781128,0.1890541911125183,0.5447107553482056,-0.12651634216308594,0.18000000715255737
10,1,0.517427865518869,0.08654306557525482,0.5174278616905212,0.08654306828975677,0.4691295027732849,0.03977563604712486,35,-1.5769107165932654,0.5017930865287781,0.09621134400367737,0.2152729332447052,0.5174278616905212,0.08654306828975677,0.18000000715255737
11,0,0.5818156145450122,-0.18352668224122284,0.5818156003952026,-0.1835266798734665,0.526797890663147,0.05991465598344803,120,-13.06020423874259,0.6306769251823425,-0.14885199069976807,0.1799478977918625,0.5818156003952026,-0.1835266798734665,0.18000000715255737
12,1,0.42037039477676197,0.18792398721717496,0.4203703999519348,0.18792398273944855,0.4652794301509857,0.038135726004838943,36,-1.6974400359392163,0.4313861131668091,0.18921007215976715,0.21648745238780975,0.4203703999519348,0.18792398273944855,0.18000000715255737
