episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
1,1,0.45670612309896924,-0.15316400692000912,0.45823222398757935,-0.15317529439926147,0.4628027677536011,0.03733545541763306,43,-1.9563464084267626,0.45042237639427185,-0.11726285517215729,0.1734243631362915,0.45823222398757935,-0.15317529439926147,0.18000000715255737
2,1,0.46013890440079447,-0.14098309845404208,0.4601389169692993,-0.14098310470581055,0.4600466191768646,0.03816214203834534,38,-1.621806710362435,0.4543885588645935,-0.10565471649169922,0.193235844373703,0.4601389169692993,-0.14098310470581055,0.18000000715255737
3,1,0.5371999205774103,-0.17523752455178707,0.5371999144554138,-0.1752375215291977,0.5020082592964172,0.03606053441762924,42,-2.4436905349791047,0.5356030464172363,-0.13951948285102844,0.17530599236488342,0.5371999144554138,-0.1752375215291977,0.18000000715255737
4,1,0.48868824475797074,-0.16004239366034093,0.48868823051452637,-0.1600423902273178,0.47638028860092163,0.03870932385325432,42,-2.0482172825932485,0.48515599966049194,-0.12222152203321457,0.1725490391254425,0.48868823051452637,-0.1600423902273178,0.18000000715255737
5,1,0.47166038287416295,-0.1824216607724561,0.4716603755950928,-0.18242165446281433,0.4782315194606781,0.03661529719829559,46,-2.451719617396593,0.47930967807769775,-0.146626278758049,0.17907311022281647,0.4716603755950928,-0.18242165446281433,0.18000000715255737
6,1,0.589447898837962,-0.19769377703109198,0.5894479155540466,-0.19769378006458282,0.5358821749687195,0.03901829943060875,43,-3.3145335717499282,0.5845491290092468,-0.1672336459159851,0.2038874477148056,0.5894479155540466,-0.19769378006458282,0.18000000715255737
7,1,0.5842709751773588,-0.18836895249727018,0.5842709541320801,-0.18836894631385803,0.52978515625,0.03769901767373085,42,-3.0821080140769483,0.5767583847045898,-0.1560751497745514,0.19794124364852905,0.5842709541320801,-0.18836894631385803,0.18000000715255737
8,1,0.5114916626503971,-0.19091234447384042,0.5114916563034058,-0.19091235101222992,0.49656566977500916,0.03964846208691597,44,-2.598592599928379,0.520188570022583,-0.1523507833480835,0.1769389808177948,0.5114916563034058,-0.19091235101222992,0.18000000715255737
9,1,0.46238831786883156,-0.1522821829020789,0.4623883068561554,-0.15228217840194702,0.46438175439834595,0.03943066671490669,42,-1.9187602588534345,0.45391061902046204,-0.11434723436832428,0.1733783483505249,0.4623883068561554,-0.15228217840194702,0.18000000715255737
10,1,0.4536499509889364,-0.1877879318229076,0.45653146505355835,-0.18806007504463196,0.47443220019340515,0.03968285024166107,47,-2.6072681856155375,0.4656389355659485,-0.14948250353336334,0.18188507854938507,0.45653146505355835,-0.18806007504463196,0.18000000715255737
11,1,0.5778413656578317,-0.16891973700135743,0.5778413414955139,-0.16891974210739136,0.5198071002960205,0.0335552841424942,41,-2.7372588075697424,0.5653653144836426,-0.13846732676029205,0.18655410408973694,0.5778413414955139,-0.16891974210739136,0.18000000715255737
12,1,0.45180037779713356,-0.1554767964715198,0.45577797293663025,-0.1555340588092804,0.4620125889778137,0.03900983929634094,43,-1.9953111904859533,0.44812601804733276,-0.11784660816192627,0.17345239222049713,0.45577797293663025,-0.1555340588092804,0.18000000715255737
13,1,0.5217469270367205,-0.18881900072292887,0.5217469334602356,-0.1888190060853958,0.5000815391540527,0.035588908940553665,44,-2.5891057887673385,0.5299530625343323,-0.15419551730155945,0.1793336272239685,0.5217469334602356,-0.1888190060853958,0.18000000715255737
14,1,0.5116508533665681,-0.1459224415175807,0.5116508603096008,-0.1459224373102188,0.481132447719574,0.03791381046175957,39,-1.8909924259781814,0.5030257105827332,-0.10900385677814484,0.17971350252628326,0.5116508603096008,-0.1459224373102188,0.18000000715255737
15,1,0.4543420156979265,-0.1702268044784316,0.45702239871025085,-0.17034800350666046,0.4679766893386841,0.03799479082226753,45,-2.2469477322697617,0.45737773180007935,-0.13253910839557648,0.1762629747390747,0.45702239871025085,-0.17034800350666046,0.18000000715255737
