episode,success,target_x,target_y,object_x,object_y,initial_distance,final_distance,steps,reward,final_ee_x,final_ee_y,final_ee_z,goal_x,goal_y,goal_z
1,0,0.45670612309896924,-0.15316400692000912,0.45823222398757935,-0.15317529439926147,0.4628027677536011,0.04523923993110657,120,-11.644373939782378,0.4829755127429962,-0.1153029277920723,0.18020585179328918,0.45823222398757935,-0.15317529439926147,0.18000000715255737
2,1,0.46013890440079447,-0.14098309845404208,0.4601389169692993,-0.14098310470581055,0.4600466191768646,0.03993592411279678,69,-3.633950066417454,0.48155632615089417,-0.10727730393409729,0.180302694439888,0.4601389169692993,-0.14098310470581055,0.18000000715255737
3,0,0.5371999205774103,-0.17523752455178707,0.5371999144554138,-0.1752375215291977,0.5020082592964172,0.06482458859682083,120,-13.032781626507642,0.589469850063324,-0.136898472905159,0.17955422401428223,0.5371999144554138,-0.1752375215291977,0.18000000715255737
4,0,0.48868824475797074,-0.16004239366034093,0.48868823051452637,-0.1600423902273178,0.47638028860092163,0.05338946357369423,120,-12.084386906102294,0.5265511870384216,-0.12240158766508102,0.18003664910793304,0.48868823051452637,-0.1600423902273178,0.18000000715255737
5,0,0.47166038287416295,-0.1824216607724561,0.4716603755950928,-0.18242165446281433,0.4782315194606781,0.06862255185842514,120,-13.692865392565727,0.5165890455245972,-0.13055197894573212,0.17992675304412842,0.4716603755950928,-0.18242165446281433,0.18000000715255737
6,0,0.589447898837962,-0.19769377703109198,0.5894479155540466,-0.19769378006458282,0.5358821749687195,0.06326133757829666,120,-13.608371760472663,0.6408174633979797,-0.16077300906181335,0.18015196919441223,0.5894479155540466,-0.19769378006458282,0.18000000715255737
7,0,0.5842709751773588,-0.18836895249727018,0.5842709541320801,-0.18836894631385803,0.52978515625,0.06112689524888992,120,-13.250122482776636,0.6341150403022766,-0.15298442542552948,0.18001426756381989,0.5842709541320801,-0.18836894631385803,0.18000000715255737
8,0,0.5114916626503971,-0.19091234447384042,0.5114916563034058,-0.19091235101222992,0.49656566977500916,0.07111745327711105,120,-13.80635242871941,0.5672302842140198,-0.14674346148967743,0.17991909384727478,0.5114916563034058,-0.19091235101222992,0.18000000715255737
9,0,0.46238831786883156,-0.1522821829020789,0.4623883068561554,-0.15228217840194702,0.46438175439834595,0.045175809413194656,120,-11.592275514453657,0.48826149106025696,-0.11524979025125504,0.1801849752664566,0.4623883068561554,-0.15228217840194702,0.18000000715255737
10,0,0.4536499509889364,-0.1877879318229076,0.45653146505355835,-0.18806006014347076,0.47443220019340515,0.06968381255865097,120,-14.00494971800595,0.49993064999580383,-0.13354085385799408,0.17997507750988007,0.45653146505355835,-0.18806006014347076,0.18000000715255737
