episode,global_step,episode_reward,episode_length,success,initial_distance,final_distance,moving_reward_20,success_rate_20,alpha,critic_loss,actor_loss,object_x,object_y,object_z
1,120,-52.86667799662799,120,0,0.4809611141681671,0.41775286197662354,-52.86667799662799,0.0,0.20000000298023224,0.0,0.0,0.557186484336853,0.020468782633543015,0.029892245307564735
2,240,-49.74636375136675,120,0,0.4613981246948242,0.3955563008785248,-51.30652087399737,0.0,0.20000000298023224,0.0,0.0,0.4790964722633362,0.12229733914136887,0.029892245307564735
3,360,-61.840359731093066,120,0,0.4971655607223511,0.5198788046836853,-54.81780049302927,0.0,0.20000000298023224,0.0,0.0,0.5304027199745178,-0.1701541543006897,0.029892245307564735
4,480,-55.36863604843615,120,0,0.4676212966442108,0.43347206711769104,-54.95550938188099,0.0,0.20000000298023224,0.0,0.0,0.5186569094657898,0.07455334812402725,0.029892245307564735
5,600,-56.344311420395954,120,0,0.4841366112232208,0.43042314052581787,-55.233269789583986,0.0,0.20000000298023224,0.0,0.0,0.48467496037483215,-0.1857571303844452,0.029892245307564735
6,720,-58.017020258568245,120,0,0.5154548287391663,0.472472608089447,-55.697228201081366,0.0,0.20000000298023224,0.0,0.0,0.5766754150390625,-0.15702961385250092,0.029892245307564735
7,840,-59.08217933652926,120,0,0.5051896572113037,0.4878743588924408,-56.18079264900249,0.0,0.20000000298023224,0.0,0.0,0.5870280265808105,-0.09214510768651962,0.029892245307564735
8,960,-49.05478304669262,120,0,0.4562983512878418,0.38803234696388245,-55.29004144871375,0.0,0.20000000298023224,0.0,0.0,0.4859920144081116,-0.08863367140293121,0.029892245307564735
9,1080,-52.9322371391952,120,0,0.46738672256469727,0.3939744532108307,-55.028063192100575,0.0,0.19519466161727905,0.008448665961623192,-0.15026965737342834,0.4938119947910309,-0.12344154715538025,0.029892245307564735
10,1200,-49.82816334620118,120,0,0.46318379044532776,0.33813464641571045,-54.50807320751064,0.0,0.18828687071800232,0.005555466283112764,-0.07801707088947296,0.46514981985092163,0.1456466168165207,0.029892245307564735
11,1320,-58.091841430403306,120,0,0.4891257882118225,0.458370178937912,-54.8338703186827,0.0,0.18163064122200012,0.003856090595945716,-0.015456756576895714,0.5693787932395935,0.04572245851159096,0.029892245307564735
12,1440,-58.9785638390854,120,0,0.5221235156059265,0.45532506704330444,-55.17926144538293,0.0,0.17520977556705475,0.0032995278015732765,0.06081978976726532,0.5706652998924255,0.18650145828723907,0.029892245307564735
13,1560,-48.434210365936146,120,0,0.4707813858985901,0.37884974479675293,-54.660411362348555,0.0,0.169020876288414,0.0062557789497077465,0.12111314386129379,0.5214298367500305,0.08568678051233292,0.029892245307564735
14,1680,-43.14667289767414,120,0,0.436777263879776,0.28165939450263977,-53.838001472014675,0.0,0.16305139660835266,0.0028654001653194427,0.1950196772813797,0.4407949149608612,-0.06750867515802383,0.029892245307564735
15,1800,-47.29432520095261,120,0,0.4663015902042389,0.33877328038215637,-53.401756387277196,0.0,0.1572982519865036,0.002718075178563595,0.2624066174030304,0.527042031288147,0.026573726907372475,0.029892245307564735
16,1920,-50.92965295463802,120,0,0.5283668637275696,0.3498745560646057,-53.247249922737254,0.0,0.15174977481365204,0.003583987709134817,0.3347531259059906,0.5861849188804626,0.18143074214458466,0.029892245307564735
17,2040,-45.579055699352175,120,0,0.5123791694641113,0.2628684639930725,-52.796179674302834,0.0,0.14640283584594727,0.0017903486732393503,0.3918711543083191,0.5755592584609985,-0.1486530601978302,0.029892245307564735
18,2160,-45.15867234973237,120,0,0.48926588892936707,0.26752063632011414,-52.371873711826694,0.0,0.1412472128868103,0.0025228990707546473,0.5156574845314026,0.5520650148391724,0.10494145005941391,0.029892245307564735
19,2280,-42.85426900513471,120,0,0.46741732954978943,0.2983233630657196,-51.87094714831659,0.0,0.13628104329109192,0.0021531004458665848,0.6038615703582764,0.5304579734802246,-0.015267923474311829,0.029892245307564735
20,2400,-46.22571667466313,120,0,0.4932084381580353,0.2901737093925476,-51.588685624633925,0.0,0.13149183988571167,0.002467169426381588,0.630520761013031,0.5488855242729187,0.12819629907608032,0.029892245307564735
21,2520,-45.33283902309836,120,0,0.5025359392166138,0.30356863141059875,-51.21199367595743,0.0,0.1268790364265442,0.0019942931830883026,0.7900482416152954,0.5717533230781555,-0.11890031397342682,0.029892245307564735
22,2640,-36.17466553255916,120,0,0.45914706587791443,0.19012987613677979,-50.53340876501706,0.0,0.12243442982435226,0.0019719544798135757,0.8040393590927124,0.4455726146697998,-0.15591087937355042,0.029894990846514702
23,2760,-36.5744047241006,120,0,0.44135791063308716,0.24410633742809296,-49.270111014667435,0.0,0.11815261095762253,0.0029853719752281904,0.9331873059272766,0.41516101360321045,0.1215776577591896,0.029892245307564735
24,2880,-35.315291053578264,120,0,0.4917551875114441,0.15695449709892273,-48.26744376492454,0.0,0.11402306705713272,0.00227155489847064,0.9999808073043823,0.5767183899879456,0.027651099488139153,0.029892245307564735
25,3000,-37.343316520378,120,0,0.48170235753059387,0.15627682209014893,-47.31739401992365,0.0,0.11004164814949036,0.0019474946893751621,1.060713291168213,0.5460204482078552,0.08120723068714142,0.029892245307564735
26,3120,-41.066330422572804,120,0,0.5048929452896118,0.24338799715042114,-46.46985952812388,0.0,0.10620929300785065,0.0019572486635297537,1.1129339933395386,0.5730094909667969,-0.12587757408618927,0.029892245307564735
27,3240,-46.04333914212883,120,0,0.5111604332923889,0.26704615354537964,-45.81791751840385,0.0,0.10251736640930176,0.002211067359894514,1.2929205894470215,0.5381823778152466,0.19881555438041687,0.029892245307564735
28,3360,-33.746396948732446,120,0,0.49764493107795715,0.20304438471794128,-45.05249821350585,0.0,0.09896526485681534,0.0018458086997270584,1.3255248069763184,0.5850337743759155,0.04513836279511452,0.029892245307564735
29,3480,-36.667616624012595,120,0,0.5099744200706482,0.16350732743740082,-44.23926718774671,0.0,0.09555095434188843,0.0018140609608963132,1.4027692079544067,0.5441204905509949,0.18850980699062347,0.029892245307564735
30,3600,-30.57493320629001,120,0,0.46253082156181335,0.12113820761442184,-43.27660568075115,0.0,0.09225352853536606,0.0017243118491023779,1.4616107940673828,0.45001858472824097,0.1586345136165619,0.029892245307564735
31,3720,-29.033986498005692,120,0,0.4739634394645691,0.20076113939285278,-41.82371293413127,0.0,0.0890839621424675,0.0022595981135964394,1.4345242977142334,0.49577006697654724,-0.14385224878787994,0.029892245307564735
32,3840,-28.415742680132375,120,0,0.45023906230926514,0.12885279953479767,-40.295571876183615,0.0,0.08604259043931961,0.0021179742179811,1.578328251838684,0.48629307746887207,-0.04748787358403206,0.029892245307564735
33,3960,-24.60897325199098,120,0,0.4643431603908539,0.08127149194478989,-39.10431002048636,0.0,0.08310341089963913,0.0020049058366566896,1.6666638851165771,0.45970118045806885,-0.15489476919174194,0.029897650703787804
34,4080,-36.45172438919543,120,0,0.5212813019752502,0.2205115258693695,-38.769562595062425,0.0,0.08027847111225128,0.001529954606667161,1.6566959619522095,0.566889762878418,0.189421609044075,0.029892245307564735
35,4200,-26.74234839998184,120,0,0.46734780073165894,0.11964605748653412,-37.741963755013884,0.0,0.07756311446428299,0.0017811295110732317,1.7482043504714966,0.5274941325187683,0.03852052614092827,0.029892245307564735
36,4320,-21.60755275664852,120,0,0.4433254599571228,0.04921611025929451,-36.27585874511441,0.0,0.07494880259037018,0.0021471218205988407,1.924255132675171,0.4749511778354645,0.0039146896451711655,0.029892245307564735
37,4409,-12.58290694199503,89,1,0.4469205439090729,0.036836881190538406,-34.626051307246556,0.05,0.0730815902352333,0.0029205759055912495,1.8944883346557617,0.47303664684295654,-0.06209022179245949,0.029892245307564735
38,4517,-13.036281224414704,108,1,0.44690829515457153,0.03531579300761223,-33.01993175098067,0.1,0.07087831199169159,0.002461582887917757,1.9579358100891113,0.47828373312950134,-0.04554639011621475,0.029892245307564735
39,4637,-23.345756200887273,120,0,0.4634673595428467,0.12305229902267456,-32.044506110768296,0.1,0.06853892654180527,0.0031487944070249796,1.890622615814209,0.4660530984401703,0.14556516706943512,0.029892245307564735
40,4757,-20.689444010481246,120,0,0.460873544216156,0.1355264037847519,-30.767692477559205,0.1,0.0662701204419136,0.00290133198723197,1.8823418617248535,0.484945148229599,0.11147098243236542,0.029892245307564735
41,4877,-23.499562011994428,120,0,0.4909745156764984,0.08039812743663788,-29.67602862700401,0.1,0.06410461664199829,0.07824496924877167,2.070668935775757,0.5723128318786621,0.048521410673856735,0.029892245307564735
42,4997,-23.686470099035645,120,0,0.4659595489501953,0.16650669276714325,-29.05161885532783,0.1,0.06201847270131111,0.0058621750213205814,2.0415561199188232,0.5179863572120667,0.06549952179193497,0.029892245307564735
43,5117,-24.066149486526847,120,0,0.4542291462421417,0.2049867957830429,-28.426206093449146,0.1,0.060028258711099625,0.004828557372093201,2.135904312133789,0.47191107273101807,-0.10398939251899719,0.029892245307564735
44,5237,-25.604048007801172,120,0,0.47844555974006653,0.20240961015224457,-27.940643941160296,0.1,0.05811189487576485,0.004307227209210396,2.0642189979553223,0.552656352519989,-0.015862440690398216,0.029892245307564735
45,5357,-22.26211676527745,120,0,0.4986041188240051,0.11586255580186844,-27.18658395340527,0.1,0.056257229298353195,0.004437330644577742,2.1661481857299805,0.5806243419647217,0.0736570954322815,0.029892245307564735
46,5477,-22.098165676957006,120,0,0.4720100462436676,0.16382154822349548,-26.238175716124477,0.1,0.05447980388998985,0.004410328343510628,2.159607410430908,0.4483994245529175,-0.18790815770626068,0.02989465557038784
47,5597,-16.32966525360942,120,0,0.45860156416893005,0.1010880172252655,-24.752492021698504,0.1,0.05276617035269737,0.0032853647135198116,2.2822813987731934,0.5097992420196533,0.029575012624263763,0.029892245307564735
48,5717,-17.97960805363953,120,0,0.4932626187801361,0.060054369270801544,-23.964152576943864,0.1,0.05111004412174225,0.0046213967725634575,2.1854052543640137,0.5591071248054504,0.10695210099220276,0.029892245307564735
49,5837,-16.883993521705268,120,0,0.5045030117034912,0.06156647950410843,-22.974971421828492,0.1,0.049520235508680344,0.003083638148382306,2.364561080932617,0.5939410924911499,-0.062275081872940063,0.029892245307564735
50,5957,-18.814893912747497,120,0,0.43668705224990845,0.1091986671090126,-22.38696945715137,0.1,0.047992683947086334,0.005263304337859154,2.236457347869873,0.4178389608860016,0.10046649724245071,0.029892245307564735
51,6024,-8.076888123005629,67,1,0.5105864405632019,0.0357082262635231,-21.33911453840137,0.15,0.047155581414699554,0.0029308246448636055,2.3476157188415527,0.5785215497016907,-0.1366165727376938,0.029892245307564735
52,6096,-8.188841388523578,72,1,0.4982437491416931,0.03916209936141968,-20.32776947382093,0.2,0.04628203809261322,0.08015163242816925,2.3744163513183594,0.5509070158004761,-0.14298465847969055,0.029892245307564735
