episode,success,initial_distance_m,final_distance_m,steps,episode_reward,object_x,object_y,object_z,goal_x,goal_y,goal_z,final_ee_x,final_ee_y,final_ee_z
1,1,0.42349785566329956,0.03906305506825447,38,-1.6334858286380785,0.401601105928421,-0.04564698040485382,0.029892245307564735,0.401601105928421,-0.04564698040485382,0.18000000715255737,0.4275248348712921,-0.01980951428413391,0.19364947080612183
2,1,0.42462772130966187,0.03817930072546005,37,-1.4537954834103575,0.4165041446685791,-0.0008393657044507563,0.029892245307564735,0.4165041446685791,-0.0008393657044507563,0.18000000715255737,0.4461233913898468,0.01253710500895977,0.2000357061624527
3,1,0.456577867269516,0.038564227521419525,35,-1.3981820355355739,0.48974913358688354,0.08217133581638336,0.029892245307564735,0.48974913358688354,0.08217133581638336,0.18000000715255737,0.4903582036495209,0.0941900834441185,0.2166384905576706
4,1,0.4403882622718811,0.03285101056098938,36,-1.2833060759305956,0.4595577120780945,0.04850587621331215,0.029892245307564735,0.4595577120780945,0.04850587621331215,0.18000000715255737,0.47515669465065,0.058491699397563934,0.2071319818496704
5,0,0.48716333508491516,0.06019704416394234,120,-12.538042028993363,0.512180507183075,-0.16406090557575226,0.029892245307564735,0.512180507183075,-0.16406090557575226,0.18000000715255737,0.5574236512184143,-0.12435406446456909,0.17967042326927185
6,1,0.4236973822116852,0.039202723652124405,38,-1.6355663268268135,0.4017881453037262,-0.047087810933589935,0.029892245307564735,0.4017881453037262,-0.047087810933589935,0.18000000715255737,0.42746415734291077,-0.020811086520552635,0.193679541349411
7,0,0.5272695422172546,0.0627349466085434,120,-13.321770173273984,0.5793918967247009,-0.18842869997024536,0.029892245307564735,0.5793918967247009,-0.18842869997024536,0.18000000715255737,0.6309091448783875,-0.1526290774345398,0.17981703579425812
8,1,0.5092407464981079,0.038002777844667435,45,-3.0394089119136325,0.5922999382019043,0.09808226674795151,0.029892245307564735,0.5922999382019043,0.09808226674795151,0.18000000715255737,0.5629155039787292,0.12154405564069748,0.17449449002742767
9,1,0.4907388389110565,0.03891971707344055,38,-2.226852484792471,0.5447107553482056,-0.12651634216308594,0.029892245307564735,0.5447107553482056,-0.12651634216308594,0.18000000715255737,0.543731689453125,-0.08867710828781128,0.1890541911125183
10,1,0.4691295027732849,0.03977563604712486,35,-1.5769107130169866,0.5174278616905212,0.08654306828975677,0.029892245307564735,0.5174278616905212,0.08654306828975677,0.18000000715255737,0.5017930865287781,0.09621134400367737,0.2152729332447052
11,0,0.5267979502677917,0.059914663434028625,120,-13.060204475447534,0.5818156599998474,-0.1835266798734665,0.029892245307564735,0.5818156599998474,-0.1835266798734665,0.18000000715255737,0.6306769847869873,-0.14885197579860687,0.1799478977918625
12,1,0.4652794301509857,0.038135726004838943,36,-1.6974400359392163,0.4203703999519348,0.18792398273944855,0.029892245307564735,0.4203703999519348,0.18792398273944855,0.18000000715255737,0.4313861131668091,0.18921007215976715,0.21648745238780975
13,1,0.4848850965499878,0.03941866755485535,38,-2.0364119295775875,0.5592196583747864,-0.056458353996276855,0.029892245307564735,0.5592196583747864,-0.056458353996276855,0.18000000715255737,0.5199872851371765,-0.05287979543209076,0.1813587248325348
14,1,0.4314732551574707,0.03980627283453941,37,-1.461349662840366,0.4269988536834717,0.05876247212290764,0.029892245307564735,0.4269988536834717,0.05876247212290764,0.18000000715255737,0.45717865228652954,0.07370144128799438,0.20122608542442322
15,1,0.5087453126907349,0.03765510395169258,38,-2.5882469743490244,0.584410548210144,-0.11642569303512573,0.029892245307564735,0.584410548210144,-0.11642569303512573,0.18000000715255737,0.5638250112533569,-0.0860615149140358,0.18849465250968933
16,1,0.4910101592540741,0.03875134885311127,38,-2.229709498435259,0.5454151034355164,-0.12624354660511017,0.029892245307564735,0.5454151034355164,-0.12624354660511017,0.18000000715255737,0.5441022515296936,-0.08858337253332138,0.1890363097190857
17,1,0.49557965993881226,0.036146845668554306,40,-2.4477823306620135,0.5447441935539246,-0.14410097897052765,0.029892245307564735,0.5447441935539246,-0.14410097897052765,0.18000000715255737,0.5571703314781189,-0.11055126786231995,0.18515776097774506
18,1,0.5345237255096436,0.03809880092740059,43,-3.571846892833708,0.5982733368873596,-0.18045978248119354,0.029892245307564735,0.5982733368873596,-0.18045978248119354,0.18000000715255737,0.6164637804031372,-0.14761140942573547,0.18645063042640686
19,1,0.44560691714286804,0.039448004215955734,35,-1.3006811010837547,0.47150689363479614,0.056465230882167816,0.029892245307564735,0.47150689363479614,0.056465230882167816,0.18000000715255737,0.482628732919693,0.06538650393486023,0.21678125858306885
