episode,success,initial_distance_m,final_distance_m,steps,episode_reward,object_x,object_y,object_z,goal_x,goal_y,goal_z,final_ee_x,final_ee_y,final_ee_z,error_x,error_y,error_z,abs_error_x,abs_error_y,abs_error_z
1,1,0.4234978556632995,0.0390630550682544,38,-1.6334858286380785,0.401601105928421,-0.0456469804048538,0.0298922453075647,0.401601105928421,-0.0456469804048538,0.1800000071525573,0.4275248348712921,-0.0198095142841339,0.1936494708061218,-0.025923728942871094,-0.0258374661207199,-0.013649463653564509,0.025923728942871094,0.0258374661207199,0.013649463653564509
2,1,0.4246277213096618,0.03817930072546,37,-1.4537954834103577,0.4165041446685791,-0.0008393657044507,0.0298922453075647,0.4165041446685791,-0.0008393657044507,0.1800000071525573,0.4461233913898468,0.0125371050089597,0.2000357061624527,-0.0296192467212677,-0.013376470713410402,-0.020035699009895408,0.0296192467212677,0.013376470713410402,0.020035699009895408
3,1,0.456577867269516,0.0385642275214195,35,-1.398182035535574,0.4897491335868835,0.0821713358163833,0.0298922453075647,0.4897491335868835,0.0821713358163833,0.1800000071525573,0.4903582036495209,0.0941900834441185,0.2166384905576706,-0.0006090700626373846,-0.012018747627735193,-0.036638483405113303,0.0006090700626373846,0.012018747627735193,0.036638483405113303
4,1,0.4403882622718811,0.0328510105609893,36,-1.2833060759305956,0.4595577120780945,0.0485058762133121,0.0298922453075647,0.4595577120780945,0.0485058762133121,0.1800000071525573,0.47515669465065,0.0584916993975639,0.2071319818496704,-0.015598982572555542,-0.0099858231842518,-0.02713197469711312,0.015598982572555542,0.0099858231842518,0.02713197469711312
6,1,0.4236973822116852,0.0392027236521244,38,-1.6355663268268137,0.4017881453037262,-0.0470878109335899,0.0298922453075647,0.4017881453037262,-0.0470878109335899,0.1800000071525573,0.4274641573429107,-0.0208110865205526,0.193679541349411,-0.025676012039184515,-0.0262767244130373,-0.013679534196853721,0.025676012039184515,0.0262767244130373,0.013679534196853721
8,1,0.5092407464981079,0.0380027778446674,45,-3.0394089119136325,0.5922999382019043,0.0980822667479515,0.0298922453075647,0.5922999382019043,0.0980822667479515,0.1800000071525573,0.5629155039787292,0.1215440556406974,0.1744944900274276,0.02938443422317505,-0.023461788892745902,0.0055055171251297,0.02938443422317505,0.023461788892745902,0.0055055171251297
9,1,0.4907388389110565,0.0389197170734405,38,-2.226852484792471,0.5447107553482056,-0.1265163421630859,0.0298922453075647,0.5447107553482056,-0.1265163421630859,0.1800000071525573,0.543731689453125,-0.0886771082878112,0.1890541911125183,0.0009790658950805664,-0.037839233875274714,-0.00905418395996102,0.0009790658950805664,0.037839233875274714,0.00905418395996102
10,1,0.4691295027732849,0.0397756360471248,35,-1.5769107130169866,0.5174278616905212,0.0865430682897567,0.0298922453075647,0.5174278616905212,0.0865430682897567,0.1800000071525573,0.5017930865287781,0.0962113440036773,0.2152729332447052,0.015634775161743164,-0.009668275713920593,-0.03527292609214791,0.015634775161743164,0.009668275713920593,0.03527292609214791
12,1,0.4652794301509857,0.0381357260048389,36,-1.6974400359392163,0.4203703999519348,0.1879239827394485,0.0298922453075647,0.4203703999519348,0.1879239827394485,0.1800000071525573,0.4313861131668091,0.1892100721597671,0.2164874523878097,-0.011015713214874268,-0.0012860894203186035,-0.03648744523525241,0.011015713214874268,0.0012860894203186035,0.03648744523525241
13,1,0.4848850965499878,0.0394186675548553,38,-2.0364119295775875,0.5592196583747864,-0.0564583539962768,0.0298922453075647,0.5592196583747864,-0.0564583539962768,0.1800000071525573,0.5199872851371765,-0.0528797954320907,0.1813587248325348,0.03923237323760986,-0.003578558564186103,-0.0013587176799775003,0.03923237323760986,0.003578558564186103,0.0013587176799775003
14,1,0.4314732551574707,0.0398062728345394,37,-1.461349662840366,0.4269988536834717,0.0587624721229076,0.0298922453075647,0.4269988536834717,0.0587624721229076,0.1800000071525573,0.4571786522865295,0.0737014412879943,0.2012260854244232,-0.030179798603057806,-0.014938969165086705,-0.0212260782718659,0.030179798603057806,0.014938969165086705,0.0212260782718659
