episode,success,initial_distance_m,final_distance_m,steps,episode_reward,object_x,object_y,object_z,goal_x,goal_y,goal_z,final_ee_x,final_ee_y,final_ee_z,error_x,error_y,error_z,abs_error_x,abs_error_y,abs_error_z
5,0,0.4871633350849151,0.0601970441639423,120,-12.538042028993363,0.512180507183075,-0.1640609055757522,0.0298922453075647,0.512180507183075,-0.1640609055757522,0.1800000071525573,0.5574236512184143,-0.124354064464569,0.1796704232692718,-0.045243144035339355,-0.03970684111118321,0.0003295838832854947,0.045243144035339355,0.03970684111118321,0.0003295838832854947
7,0,0.5272695422172546,0.0627349466085434,120,-13.321770173273984,0.5793918967247009,-0.1884286999702453,0.0298922453075647,0.5793918967247009,-0.1884286999702453,0.1800000071525573,0.6309091448783875,-0.1526290774345398,0.1798170357942581,-0.05151724815368652,-0.03579962253570551,0.00018297135829919986,0.05151724815368652,0.03579962253570551,0.00018297135829919986
11,0,0.5267979502677917,0.0599146634340286,120,-13.060204475447534,0.5818156599998474,-0.1835266798734665,0.0298922453075647,0.5818156599998474,-0.1835266798734665,0.1800000071525573,0.6306769847869873,-0.1488519757986068,0.1799478977918625,-0.04886132478713989,-0.0346747040748597,5.210936069480199e-05,0.04886132478713989,0.0346747040748597,5.210936069480199e-05
32,0,0.4925581812858581,0.0573998503386974,120,-12.214704374298456,0.528845489025116,-0.1583846658468246,0.0298922453075647,0.528845489025116,-0.1583846658468246,0.1800000071525573,0.5734540224075317,-0.1222668290138244,0.1794313192367553,-0.04460853338241577,-0.0361178368330002,0.000568687915802002,0.04460853338241577,0.0361178368330002,0.000568687915802002
36,0,0.4784670174121856,0.0725341960787773,120,-14.177527642697104,0.4633227288722992,-0.1902074962854385,0.0298922453075647,0.4633227288722992,-0.1902074962854385,0.1800000071525573,0.5099803805351257,-0.1346713155508041,0.1799252927303314,-0.04665765166282654,-0.0555361807346344,7.471442222589664e-05,0.04665765166282654,0.0555361807346344,7.471442222589664e-05
50,0,0.50803142786026,0.0709046870470047,120,-13.79860057774932,0.5358157157897949,-0.1934608817100525,0.0298922453075647,0.5358157157897949,-0.1934608817100525,0.1800000071525573,0.5943414568901062,-0.1534338295459747,0.1797835379838943,-0.05852574110031128,-0.04002705216407779,0.00021646916866299715,0.05852574110031128,0.04002705216407779,0.00021646916866299715
55,0,0.5235229730606079,0.066537007689476,120,-13.559558562375605,0.5702692270278931,-0.1909314543008804,0.0298922453075647,0.5702692270278931,-0.1909314543008804,0.1800000071525573,0.6255362033843994,-0.1538862287998199,0.1793785989284515,-0.05526697635650635,-0.037045225501060514,0.0006214082241057794,0.05526697635650635,0.037045225501060514,0.0006214082241057794
64,0,0.4633630812168121,0.0669411793351173,120,-14.236690535992384,0.4155989289283752,-0.1904248744249344,0.0298922564834356,0.4155989289283752,-0.1904248744249344,0.1800000071525573,0.4457525610923767,-0.1306601911783218,0.1802503615617752,-0.03015363216400152,-0.05976468324661258,-0.00025035440921791774,0.03015363216400152,0.05976468324661258,0.00025035440921791774
65,0,0.4565870761871338,0.042298823595047,120,-11.44631196275353,0.4457659125328064,-0.1480471044778823,0.0298915561288595,0.4457659125328064,-0.1480471044778823,0.1800000071525573,0.4625571668148041,-0.1092249602079391,0.180292323231697,-0.01679125428199768,-0.038822144269943196,-0.00029231607913970947,0.01679125428199768,0.038822144269943196,0.00029231607913970947
70,0,0.4838740229606628,0.0657772123813629,120,-13.200352609977124,0.4945418238639831,-0.1750666946172714,0.0298922453075647,0.4945418238639831,-0.1750666946172714,0.1800000071525573,0.5416355729103088,-0.1291449069976806,0.179901510477066,-0.04709374904632574,-0.04592178761959079,9.84966754912775e-05,0.04709374904632574,0.04592178761959079,9.84966754912775e-05
83,0,0.4781138896942138,0.0700825750827789,120,-13.878485751152036,0.467989057302475,-0.185366153717041,0.0298922453075647,0.467989057302475,-0.185366153717041,0.1800000071525573,0.5134322643280029,-0.1320137679576873,0.1799269914627075,-0.045443207025527954,-0.05335238575935369,7.3015689849798e-05,0.045443207025527954,0.05335238575935369,7.3015689849798e-05
97,0,0.465755432844162,0.0413671731948852,120,-11.05924442246556,0.4756063520908355,-0.1420756727457046,0.0298922453075647,0.4756063520908355,-0.1420756727457046,0.1800000071525573,0.5010359287261963,-0.1094480976462364,0.1801447719335556,-0.025429576635360773,-0.03262757509946819,-0.00014476478099831325,0.025429576635360773,0.03262757509946819,0.00014476478099831325
