episode,success,initial_distance_m,final_distance_m,steps,episode_reward,target_x,target_y,target_z,final_ee_x,final_ee_y,final_ee_z
1,1,0.2533145546913147,0.03489215672016144,22,2.9554080317914484,0.4036804437637329,0.06995658576488495,0.36681708693504333,0.4318939745426178,0.08106865733861923,0.3840792179107666
2,0,0.22218157351016998,0.08781736344099045,120,-10.298611423587419,0.4611501395702362,-0.07254133373498917,0.44762957096099854,0.44703033566474915,-0.09499520808458328,0.36391371488571167
3,0,0.39535462856292725,0.08614920824766159,120,-12.615539010469806,0.6215431094169617,-0.1613233983516693,0.4131962060928345,0.6968708634376526,-0.19837146997451782,0.39383500814437866
4,1,0.29022353887557983,0.03412165865302086,26,2.294276663810015,0.43949082493782043,0.23348109424114227,0.4799625277519226,0.4452495276927948,0.21227559447288513,0.4538578987121582
5,1,0.33959949016571045,0.034254029393196106,27,1.6017948855459698,0.5407612323760986,0.1263660490512848,0.37878841161727905,0.5086854100227356,0.12491562962532043,0.36685624718666077
6,1,0.38796305656433105,0.03175836428999901,36,-0.3466341742873187,0.5977685451507568,-0.025809727609157562,0.33470311760902405,0.5763781666755676,-0.004724098369479179,0.3450201749801636
7,1,0.2798064053058624,0.0314529724419117,19,3.0271157370507717,0.4333697557449341,-0.13683347404003143,0.381454199552536,0.4153711199760437,-0.1290489137172699,0.4060456454753876
8,1,0.38721764087677,0.02969539351761341,30,0.444730701297523,0.47927361726760864,0.08159030973911285,0.2532101273536682,0.4579726457595825,0.07877707481384277,0.27370819449424744
9,0,0.34770944714546204,0.07178722321987152,120,-10.223791944449772,0.4843105673789978,-0.06740959733724594,0.2988494038581848,0.4605730175971985,-0.06275962293148041,0.23126012086868286
10,1,0.3470603823661804,0.03445946425199509,40,0.7043125378340465,0.5284597277641296,-0.03234342113137245,0.3249978721141815,0.5130836367607117,-0.024122722446918488,0.2952749729156494
11,1,0.2571662664413452,0.034886106848716736,19,3.2476707258820534,0.4128248393535614,0.1873120218515396,0.4493655860424042,0.42619040608406067,0.15547847747802734,0.4443628489971161
12,1,0.25951123237609863,0.03388415277004242,35,1.6811880898848184,0.5320128798484802,-0.07744970917701721,0.48670494556427,0.5274962782859802,-0.09767647087574005,0.4598979651927948
13,1,0.24358303844928741,0.033355552703142166,26,2.519178843945265,0.5190132260322571,-0.03361862897872925,0.4751124083995819,0.5018875598907471,-0.05434998497366905,0.4553762674331665
14,1,0.3121074140071869,0.03042292781174183,23,2.2670279246568676,0.4458025395870209,0.09799743443727493,0.3284550905227661,0.4526898264884949,0.09546300023794174,0.35797959566116333
15,1,0.324176549911499,0.027320679277181625,25,1.9103068341314793,0.42846590280532837,0.10042044520378113,0.3069729804992676,0.4384806752204895,0.10146896541118622,0.3323703110218048
16,1,0.35202741622924805,0.03382153809070587,26,1.330444075614213,0.4979330897331238,0.040014225989580154,0.29722657799720764,0.47839340567588806,0.033868174999952316,0.3241398334503174
17,1,0.3218730390071869,0.034362535923719406,27,1.4758043251931667,0.5693721771240234,0.024241533130407333,0.40537580847740173,0.5373156666755676,0.027854427695274353,0.41721266508102417
18,1,0.26907235383987427,0.03480856865644455,23,2.7650662994384763,0.4616432785987854,-0.039903368800878525,0.3737074136734009,0.4500589370727539,-0.0721997544169426,0.36784371733665466
19,1,0.282779335975647,0.030280472710728645,21,2.7659455226361755,0.4909912645816803,0.08781961351633072,0.3942943811416626,0.4743573069572449,0.08699838072061539,0.41958358883857727
20,1,0.33215078711509705,0.03483021259307861,33,1.157836705446242,0.4748811721801758,-0.24909882247447968,0.44850775599479675,0.44143715500831604,-0.23944421112537384,0.44970354437828064
21,0,0.3055932819843292,0.067674919962883,120,-9.415967641742897,0.5058152675628662,-0.08672767132520676,0.37498876452445984,0.48986124992370605,-0.10143566876649857,0.3108869791030884
22,1,0.23368310928344727,0.034120552241802216,20,3.2626743558049203,0.3780337870121002,0.20235203206539154,0.4974340498447418,0.39595410227775574,0.17331714928150177,0.49765756726264954
23,1,0.18325723707675934,0.03383388742804527,14,4.062974969595671,0.3676205575466156,-0.07088439166545868,0.4325161576271057,0.38547125458717346,-0.06309962272644043,0.4601835012435913
24,1,0.275168776512146,0.03341066464781761,21,2.762538533210754,0.44427141547203064,0.033524878323078156,0.3541427552700043,0.44999849796295166,0.025291820988059044,0.38601264357566833
25,1,0.3771883249282837,0.03380679711699486,40,-0.5165700255334382,0.5822636485099792,0.22923220694065094,0.47209885716438293,0.5678924322128296,0.2226068079471588,0.4422245919704437
26,1,0.3035244643688202,0.03278980776667595,42,0.7551585552096345,0.536280632019043,-0.16986283659934998,0.4867655336856842,0.5139140486717224,-0.19089189171791077,0.4752465784549713
27,0,0.29251521825790405,0.1421307623386383,120,-14.999091603197162,0.35708972811698914,-0.10114527493715286,0.3204033672809601,0.3151584267616272,-0.1257481724023819,0.1868458241224289
28,1,0.4004410207271576,0.0319853276014328,36,-0.2664356268942374,0.5515477657318115,-0.006318466737866402,0.2732221484184265,0.5226082801818848,0.007281390950083733,0.2740039825439453
29,0,0.22842161357402802,0.04720137268304825,120,-6.81964440303389,0.3538573682308197,0.05215787515044212,0.3728708326816559,0.38445430994033813,0.07748046517372131,0.3473646938800812
30,1,0.2545049786567688,0.03118685632944107,23,2.657544727772473,0.5304146409034729,0.032011933624744415,0.47261476516723633,0.5014908313751221,0.02341499552130699,0.48049676418304443
31,0,0.36974063515663147,0.09390158951282501,120,-12.94673330765218,0.6255190372467041,-0.1558714210987091,0.48553022742271423,0.6987850069999695,-0.21434034407138824,0.4799633026123047
32,1,0.3370363712310791,0.033109940588474274,29,1.0436532291769982,0.5863179564476013,0.06951312720775604,0.41490182280540466,0.5542547702789307,0.06313645094633102,0.4096522331237793
33,1,0.4071740210056305,0.03203493729233742,34,0.39435833469033366,0.5138180255889893,0.20863164961338043,0.30831581354141235,0.4855545163154602,0.2050614356994629,0.2936643660068512
34,1,0.41025206446647644,0.03391053527593613,34,0.12381098881363872,0.5297947525978088,0.15712152421474457,0.28369036316871643,0.4965047240257263,0.16011837124824524,0.27797046303749084
35,1,0.27623677253723145,0.03410828858613968,29,1.944905119538308,0.5346524715423584,-0.0485832616686821,0.44150909781455994,0.5132274627685547,-0.06468081474304199,0.42040902376174927
36,0,0.15077972412109375,0.04612664133310318,120,-5.731720888027921,0.3703143000602722,0.05340719223022461,0.4642696678638458,0.4081806242465973,0.07679105550050735,0.4763941764831543
37,1,0.3043915331363678,0.034533582627773285,37,1.193131880387663,0.5385043621063232,-0.08933115005493164,0.41394901275634766,0.5233573317527771,-0.10158468037843704,0.385436087846756
38,1,0.3506307005882263,0.026034420356154442,27,1.327233013957739,0.4514458477497101,0.08429639786481857,0.2820861041545868,0.44739294052124023,0.08451754599809647,0.3078021705150604
39,1,0.4155225157737732,0.033127255737781525,40,-0.49950599342584656,0.4339975118637085,-0.23364080488681793,0.27097734808921814,0.42342740297317505,-0.21608227491378784,0.29700398445129395
40,0,0.3263060748577118,0.04798389971256256,120,-7.960766244009138,0.5164308547973633,-0.134150892496109,0.37902066111564636,0.5061643719673157,-0.15099148452281952,0.3352776765823364
41,1,0.39697539806365967,0.03262631222605705,34,0.3901773706078542,0.5478708148002625,0.19059309363365173,0.3387652635574341,0.5190382599830627,0.191811665892601,0.32354438304901123
42,1,0.35282668471336365,0.03245966508984566,29,1.0951543526351446,0.4456036686897278,-0.09316662698984146,0.27946239709854126,0.44354429841041565,-0.11412490904331207,0.30416339635849
43,1,0.3651981055736542,0.03239484876394272,31,1.0392223098874092,0.548954963684082,0.15982729196548462,0.3682512044906616,0.5219085216522217,0.15972766280174255,0.350421279668808
44,1,0.3524942994117737,0.03325129300355911,34,0.9936750206351275,0.5174891948699951,0.2292400598526001,0.42472878098487854,0.5152462124824524,0.21811167895793915,0.39347535371780396
45,1,0.4369495213031769,0.03216608613729477,40,-0.9350605434179302,0.573510468006134,0.19474917650222778,0.30394765734672546,0.5441049933433533,0.20599238574504852,0.2973472476005554
46,1,0.29205963015556335,0.03114878572523594,26,2.130470341593028,0.545049786567688,0.10869725048542023,0.4605569839477539,0.518341064453125,0.10487805306911469,0.4449908435344696
