episode,global_step,mode,reward,length,success,initial_distance,final_distance,success_rate_20,mean_reward_20,hard_success_rate,uniform_success_rate,alpha,critic_loss,actor_loss,object_x,object_y,object_z
1,120,hard_negative_y,-13.28342998255976,120,0,0.478042334318161,0.07286696881055832,0.0,-13.28342998255976,0.0,0.0,0.012325356714427471,0.0,0.0,0.49328479170799255,-0.15971416234970093,0.029892245307564735
2,240,hard_negative_y,-14.459935326501723,120,0,0.48107972741127014,0.06996773928403854,0.0,-13.87168265453074,0.0,0.0,0.012325356714427471,0.0,0.0,0.47775229811668396,-0.18430116772651672,0.029892245307564735
3,360,hard_negative_y,-14.67218220576644,120,0,0.4914669394493103,0.06519989669322968,0.0,-14.138515838275973,0.0,0.0,0.012074627913534641,0.006249789148569107,-1.375538945198059,0.49880748987197876,-0.19088223576545715,0.029892245307564735
4,396,uniform,-1.6947536107897738,36,1,0.4615592360496521,0.03903205320239067,0.25,-11.027575281404424,0.0,1.0,0.01199758518487215,0.005286060739308596,-1.043959140777588,0.5013666749000549,-0.08333682268857956,0.029892245307564735
5,516,hard_negative_y,-13.86760817222297,120,0,0.48943519592285156,0.07180162519216537,0.2,-11.595581859568133,0.0,1.0,0.011775460094213486,0.004051713272929192,-1.2199777364730835,0.495849072933197,-0.1885889172554016,0.02989225648343563
6,636,hard_negative_y,-12.268406937643883,120,0,0.5125155448913574,0.04630448296666145,0.16666666666666666,-11.70771937258076,0.0,1.0,0.011567381210625172,0.0042992159724235535,-1.3956248760223389,0.5760889649391174,-0.14815127849578857,0.02989225648343563
7,709,hard_negative_y,-4.509038216900078,73,1,0.48977574706077576,0.039979204535484314,0.2857142857142857,-10.679336350340662,0.16666666666666666,1.0,0.011455892585217953,0.0033796201460063457,-1.4925782680511475,0.5100575089454651,-0.17416876554489136,0.029892245307564735
8,829,uniform,-12.559955020099878,120,0,0.4531428813934326,0.05995811149477959,0.25,-10.914413684060563,0.16666666666666666,0.5,0.011276569217443466,0.00426091393455863,-1.4682672023773193,0.44650885462760925,-0.1355751007795334,0.029895680025219917
9,867,uniform,-1.6882974150776873,38,1,0.4391941726207733,0.0384095199406147,0.3333333333333333,-9.889289654173576,0.16666666666666666,0.6666666666666666,0.01121876947581768,0.012426783330738544,-1.7302831411361694,0.42003998160362244,-0.10555826872587204,0.029893357306718826
10,987,hard_negative_y,-13.697390348389748,120,0,0.476858526468277,0.0738910362124443,0.3,-10.270099723595193,0.14285714285714285,0.6666666666666666,0.011056413874030113,0.03551708906888962,-1.395509958267212,0.4595634341239929,-0.18926939368247986,0.029895825311541557
11,1107,hard_negative_y,-13.64692053912208,120,0,0.48035529255867004,0.06446725875139236,0.2727272727272727,-10.577083434097638,0.125,0.6666666666666666,0.010900348424911499,0.035865698009729385,-1.3602875471115112,0.4622564911842346,-0.19575898349285126,0.029892245307564735
12,1154,hard_negative_y,-3.448342542499308,47,1,0.5200150012969971,0.038708388805389404,0.3333333333333333,-9.983021693131109,0.2222222222222222,0.6666666666666666,0.010840567760169506,0.03539783135056496,-1.3220441341400146,0.5817446708679199,-0.16315814852714539,0.029892245307564735
13,1199,hard_negative_y,-2.6282648459076867,45,1,0.4892285168170929,0.03733404725790024,0.38461538461538464,-9.417271166421616,0.3,0.6666666666666666,0.010788114741444588,0.005786094348877668,-1.3515267372131348,0.528642475605011,-0.14800910651683807,0.029892245307564735
14,1246,hard_negative_y,-2.89371087267995,47,1,0.48172563314437866,0.039131034165620804,0.42857142857142855,-8.951302574011496,0.36363636363636365,0.6666666666666666,0.010735929943621159,0.0041664717718958855,-1.2217198610305786,0.5035414099693298,-0.15848544239997864,0.029892245307564735
15,1293,hard_negative_y,-3.58982218176127,47,1,0.5163025856018066,0.03981141746044159,0.4666666666666667,-8.593870547861481,0.4166666666666667,0.6666666666666666,0.01068943552672863,0.07418091595172882,-1.2525287866592407,0.5492727160453796,-0.1988985240459442,0.029892245307564735
16,1329,uniform,-1.2913262020051475,36,1,0.4286699593067169,0.03397265821695328,0.5,-8.137461526245461,0.4166666666666667,0.75,0.010654074139893055,0.006736834067851305,-0.8601412773132324,0.43125486373901367,0.0015503235626965761,0.029892245307564735
