episode,policy,object_x,object_y,object_z,pregrasp_success,initial_pregrasp_distance,final_pregrasp_distance,rl_steps,rl_reward,grasp_attempted,grasp_success,full_pipeline_success,alignment_error,descent_error,lift_tracking_error,object_lift_m,object_xy_motion_m,final_hand_object_distance_m,object_final_x,object_final_y,object_final_z
11,original,0.4472644627094269,0.19853805005550385,0.029892245307564735,1,0.47687220573425293,0.03508329764008522,36,-1.7337996047735231,1,1,1,0.004767352461780748,0.007441228862309221,0.015642668076515005,0.18344797752797604,0.004698196097071699,0.11629404045218666,0.44910168647766113,0.19421397149562836,0.21334022283554077
12,original,0.5177942514419556,-0.027954546734690666,0.029892245307564735,1,0.46209147572517395,0.036962851881980896,35,-1.441937543451787,1,1,1,0.006809961531090118,0.006367311489249723,0.015181651203719186,0.18401028774678707,0.00309459451452149,0.11567673219698041,0.5161957740783691,-0.025304757058620453,0.2139025330543518
13,original,0.48731932044029236,-0.05199943855404854,0.029892245307564735,1,0.4511463940143585,0.0373835563659668,35,-1.3288764153420942,1,1,1,0.005430307321022697,0.007044692425071876,0.015333911737350853,0.18397154472768307,0.002954807023406797,0.1156495303003034,0.48592033982276917,-0.04939679801464081,0.2138637900352478
14,original,0.4063156247138977,-0.09653899073600769,0.029895447194576263,1,0.43335744738578796,0.039582494646310806,48,-2.4087419152259812,1,0,0,0.008137110461333993,0.022153409387012435,0.01253005044437677,-3.1907111406326294e-06,0.012040510433782629,0.32206817129668813,0.4087662994861603,-0.08475051820278168,0.02989225648343563
15,targeted,0.5997654795646667,-0.19837136566638947,0.029892245307564735,1,0.5416386723518372,0.03631441295146942,44,-3.495631431937216,1,1,1,0.00679106474513541,0.00621752734492909,0.015042645577256748,0.18373333476483822,0.003583730706677574,0.1162655729648177,0.5991722345352173,-0.1948370784521103,0.21362558007240295
16,targeted,0.5530397295951843,-0.18206623196601868,0.029892245307564735,1,0.5118546485900879,0.034798651933670044,42,-2.6440768064558506,1,1,1,0.007209457561455189,0.005266674750681361,0.014987231254661918,0.18385920487344265,0.003976157853663132,0.1166178338694002,0.5527083277702332,-0.17810390889644623,0.21375145018100739
17,original,0.4500458240509033,-0.09112994372844696,0.029895147308707237,1,0.44396817684173584,0.03830908611416817,38,-1.6258145657181755,1,1,1,0.007212145807465009,0.006044438471215251,0.015240703379935354,0.18384515680372715,0.0033517458531833453,0.11644149448551676,0.44912123680114746,-0.08790824562311172,0.2137403041124344
18,original,0.5208714008331299,0.17011629045009613,0.029892245307564735,1,0.49294349551200867,0.039245348423719406,37,-2.045259815305471,1,1,1,0.007929449316234084,0.005637844389526695,0.015598107887620524,0.18347293697297573,0.0028550924661323064,0.11629171496999709,0.5213054418563843,0.16729438304901123,0.21336518228054047
19,original,0.4757688641548157,0.04913604259490967,0.029892245307564735,1,0.4463314712047577,0.03777248039841652,35,-1.2855687725543978,1,1,1,0.002530861466453521,0.006898378732417393,0.015149493558321599,0.18397017382085323,0.002968548837088321,0.1156573704332789,0.4745258390903473,0.04644027352333069,0.21386241912841797
20,targeted,0.5073592066764832,-0.1151486411690712,0.029892245307564735,1,0.4708676040172577,0.03511069715023041,36,-1.5381767214834667,1,1,1,0.007816714092381574,0.006538776973233684,0.015115163513893907,0.18388796411454678,0.004007177271537467,0.11632663436673553,0.507127583026886,-0.1111481636762619,0.2137802094221115
21,targeted,0.47275277972221375,-0.16766761243343353,0.029892245307564735,1,0.4731818437576294,0.03714335337281227,44,-2.170334420055152,1,1,1,0.007856134238735223,0.004899307164737909,0.015087630397281384,0.18397029303014278,0.004289758270927397,0.11669164572308417,0.4726563096046448,-0.16337893903255463,0.21386253833770752
22,original,0.42665690183639526,0.1486402302980423,0.029892245307564735,1,0.4524689316749573,0.03288286551833153,37,-1.5615127287805093,1,1,1,0.003078302881637726,0.007264933851715687,0.015905484072197617,0.18311688862740993,0.004847936650657645,0.11678606905101763,0.42885807156562805,0.14432081580162048,0.21300913393497467
23,original,0.48267728090286255,-0.00020031763415317982,0.029892245307564735,1,0.44629228115081787,0.03505542501807213,35,-1.249306948930025,1,1,1,0.002606811787821458,0.0062598602383253646,0.015017232707376316,0.183939715847373,0.0016667082024381045,0.1155596081665196,0.48123064637184143,0.0006274291663430631,0.21383196115493774
24,targeted,0.4979121685028076,-0.11231844127178192,0.029892245307564735,1,0.46623656153678894,0.0338919460773468,36,-1.4699640254676343,1,1,1,0.007596586061887474,0.006643461678342989,0.015099856266946373,0.18390939198434353,0.004090566442427384,0.1163014426903589,0.4976823031902313,-0.10823433846235275,0.21380163729190826
25,original,0.5203129053115845,0.15215672552585602,0.029892245307564735,1,0.4867923855781555,0.03581347316503525,37,-1.9177843844890594,1,1,1,0.007434446499975096,0.00557089976274568,0.015529567152185649,0.18351898156106472,0.0027949237342241927,0.11633831934692264,0.5205954909324646,0.14937612414360046,0.21341122686862946
26,targeted,0.496730774641037,-0.15804611146450043,0.029892245307564735,1,0.4788424074649811,0.03628292679786682,42,-2.03958433955908,1,1,1,0.007564711464561687,0.004667134435925447,0.015060064757385352,0.18399094603955746,0.004233035215731373,0.11662707148579605,0.4964046776294708,-0.15382565557956696,0.2138831913471222
27,original,0.4140132665634155,-0.09669467806816101,0.02989283949136734,1,0.4352304935455322,0.03977680206298828,46,-2.248232105225327,1,0,0,0.008026272636403011,0.02210741424471788,0.01261073023893831,-5.830079317092896e-07,0.01376674380078991,0.32216536963040354,0.4169292151927948,-0.08324029296636581,0.02989225648343563
28,targeted,0.42040812969207764,-0.1092793270945549,0.02989225648343563,1,0.4403980076313019,0.03864380344748497,36,-1.3690365751087663,1,0,0,0.006284401402166362,0.021565776869423747,0.012348192312200931,0.0,0.00911300781312907,0.3217686785977812,0.4239169657230377,-0.10086891800165176,0.02989225648343563
29,targeted,0.4126269817352295,-0.11271904408931732,0.02989225648343563,1,0.44011181592941284,0.0335916206240654,37,-1.4050424644351,1,0,0,0.007585029246722999,0.021759917066529768,0.01228385519006599,0.0,0.006839035457552405,0.32182661634988496,0.4152795076370239,-0.10641535371541977,0.02989225648343563
30,original,0.47115203738212585,0.11920879036188126,0.029892245307564735,1,0.4576803743839264,0.03339659422636032,36,-1.4490388444066058,1,1,1,0.0026667700997049897,0.006892584488908786,0.01547972098538343,0.18353340588510036,0.003775926887207789,0.11632453425303879,0.4718064069747925,0.11548999696969986,0.2134256511926651
31,original,0.5582219958305359,-0.044493965804576874,0.029892245307564735,1,0.4831185042858124,0.03983777016401291,40,-2.11001286610961,1,1,1,0.007324163400156411,0.004097460082597074,0.015284624962246182,0.1838990356773138,0.0027421626564653684,0.11614228696145865,0.5565756559371948,-0.04230101779103279,0.21379128098487854
32,targeted,0.4252530634403229,-0.10871893912553787,0.02989213727414608,1,0.4414415657520294,0.037716783583164215,36,-1.3524319815635701,1,0,0,0.006354593261504786,0.0215568936359833,0.012383159819116116,1.1920928955078125e-07,0.009970339299940909,0.3217902029892539,0.4289637506008148,-0.09946483373641968,0.02989225648343563
33,original,0.47194910049438477,-0.0379306860268116,0.029892245307564735,1,0.4438035786151886,0.038139160722494125,35,-1.2725708946585668,1,1,1,0.005050162220522372,0.007049033001764969,0.015281661983827619,0.1839627232402563,0.002963649659118222,0.11561639876893444,0.47055792808532715,-0.03531384468078613,0.21385496854782104
34,original,0.5150399804115295,0.07431288808584213,0.029892245307564735,1,0.4659571051597595,0.03805779665708542,35,-1.5132360148429846,1,1,1,0.005300213272241928,0.006513305821563838,0.015044351566007991,0.18402804993093014,0.003213892281201035,0.11571209115183957,0.5139442086219788,0.07129156589508057,0.21392029523849487
35,original,0.5780594348907471,-0.0576285719871521,0.029892245307564735,1,0.4950805902481079,0.03822089731693268,41,-2.4251954071223736,1,1,1,0.006735760518596506,0.003996042331541912,0.015117133611955057,0.18395679257810116,0.0033213932626148246,0.11619063108862215,0.5764029026031494,-0.054749760776758194,0.2138490378856659
36,original,0.575772762298584,0.042805835604667664,0.029909858480095863,1,0.4922601282596588,0.03912445902824402,40,-2.32776710882783,1,1,1,0.005351880538062039,0.003153767853216147,0.014966117203404036,0.1838881429284811,0.0019397328200899866,0.11612731823207581,0.5738508701324463,0.04306831210851669,0.21379800140857697
37,original,0.4639512002468109,0.15009455382823944,0.029892245307564735,1,0.46419504284858704,0.03277046978473663,36,-1.5179993990063672,1,1,1,0.002614597199726477,0.007053895270464686,0.01563888720408029,0.18343173526227474,0.004178692029628816,0.1163044933334585,0.46518340706825256,0.1461016684770584,0.21332398056983948
38,targeted,0.5508911609649658,-0.11825907975435257,0.029892245307564735,1,0.49171099066734314,0.03562813624739647,37,-1.941657715588808,1,1,1,0.00878523534757828,0.005491907003685235,0.014989171417516704,0.1839360799640417,0.0038586332120006863,0.1163745968566797,0.5501805543899536,-0.11446644365787506,0.21382832527160645
39,original,0.5618690252304077,0.058728158473968506,0.029892245307564735,1,0.4865370988845825,0.039440929889678955,37,-2.036756370514632,1,1,1,0.007994911030862736,0.0047535718310782685,0.015029256556403636,0.1839596088975668,0.002252416877652147,0.11595993698625777,0.5601840019226074,0.057233475148677826,0.21385185420513153
40,original,0.45042213797569275,0.122149258852005,0.029892245307564735,1,0.45144861936569214,0.03776400908827782,36,-1.462200770527124,1,1,1,0.002990679705824585,0.007377946427100879,0.015571554208605993,0.18341020308434963,0.004244216602830951,0.1163892500623418,0.45156803727149963,0.11806266009807587,0.21330244839191437
41,original,0.509515106678009,0.15213164687156677,0.029892245307564735,1,0.4821510314941406,0.038148585706949234,36,-1.791208372116091,1,1,1,0.0072654272909809525,0.006329509884696941,0.015449203876032831,0.1836011167615652,0.0032463671309028884,0.11611148584247127,0.5098686814308167,0.14890459179878235,0.21349336206912994
42,original,0.4454585015773773,0.03347413241863251,0.029892245307564735,1,0.43428903818130493,0.0357905775308609,36,-1.2954643516242506,1,1,1,0.0030877220557573018,0.006196988120099905,0.01498536646505617,0.18386643193662167,0.002512768253775303,0.1159667156979801,0.4442579746246338,0.0312667042016983,0.2137586772441864
43,targeted,0.5493201613426208,-0.10833802819252014,0.029892245307564735,1,0.4886387586593628,0.03743056580424309,36,-1.851843202263118,1,1,1,0.008657439125554679,0.006046973308091855,0.015036441157560589,0.18391401134431362,0.003746851115321784,0.11624572810284498,0.5486617684364319,-0.10464947670698166,0.21380625665187836
44,original,0.5752484202384949,0.13881967961788177,0.029892245307564735,1,0.5094494223594666,0.038820549845695496,46,-3.0259547401964673,1,1,1,0.006433925451058301,0.003619721319223987,0.015656649424233313,0.1833918746560812,0.0011546976205526855,0.11623663328696149,0.5741246342658997,0.13855428993701935,0.21328411996364594
45,original,0.4367581307888031,0.1444404274225235,0.029892245307564735,1,0.4538901448249817,0.03854246810078621,36,-1.5247784087061902,1,1,1,0.0029556129934136294,0.007651169324614752,0.0156817203382197,0.18332726322114468,0.0047740591499169744,0.11631880590759013,0.43851837515830994,0.14000272750854492,0.2132195085287094
46,original,0.5173906683921814,-0.03915748745203018,0.029892245307564735,1,0.46272069215774536,0.03743455186486244,35,-1.4558870537579063,1,1,1,0.007281690289417791,0.006605859917138871,0.015305173638526452,0.1839896347373724,0.0030648719081877852,0.11563969956682023,0.5158035755157471,-0.03653554618358612,0.21388188004493713
47,original,0.5721294283866882,0.1257985383272171,0.029892245307564735,1,0.5044102072715759,0.03832845017313957,45,-2.8485789105296124,1,1,1,0.006401876798049543,0.0035602870437881616,0.015539411349813395,0.1835110541433096,0.0012889571138027438,0.11625757992421323,0.5708954334259033,0.12542615830898285,0.21340329945087433
48,original,0.5656435489654541,0.08137483894824982,0.029892245307564735,1,0.4917614758014679,0.03876635059714317,38,-2.1956177726387978,1,1,1,0.007614158675566738,0.004276520555121438,0.014938908579430681,0.1839317139238119,0.0023000041981940003,0.11605532094484643,0.564200758934021,0.07958364486694336,0.21382395923137665
49,original,0.5922770500183105,0.12656550109386444,0.029892245307564735,1,0.515472412109375,0.03949178382754326,47,-3.3244344706833378,1,1,1,0.0065666566522872664,0.0037894278735128117,0.015512878796168318,0.18341217003762722,0.0014086391302150347,0.11619048609716572,0.5908711552619934,0.12665338814258575,0.21330441534519196
50,targeted,0.4958706200122833,-0.14863258600234985,0.029892245307564735,1,0.47547605633735657,0.03963664546608925,39,-1.8429250282049203,1,1,1,0.008841311188245734,0.005182316459334337,0.015041467665756609,0.1839780267328024,0.004232441416432113,0.11659497508727569,0.49558305740356445,-0.1444099247455597,0.21387027204036713
51,original,0.578605055809021,0.043126922100782394,0.029896730557084084,1,0.49387556314468384,0.039851102977991104,40,-2.3765547437965875,1,1,1,0.005459461351459489,0.0031631482835139976,0.014960174928104992,0.18389763496816158,0.0019261855899644108,0.1161179924921986,0.5767031908035278,0.043432045727968216,0.21379436552524567
52,original,0.5675827860832214,0.028840241953730583,0.029892245307564735,1,0.4868737757205963,0.03850141167640686,39,-2.1473341673612607,1,1,1,0.007153179591878094,0.0036325453694684502,0.015056944951140046,0.18388270400464535,0.0018256371294019687,0.11612455296438738,0.5658019185066223,0.028438419103622437,0.21377494931221008
53,original,0.5915114283561707,-0.06639625132083893,0.029892245307564735,1,0.5036518573760986,0.037868160754442215,41,-2.630141093581914,1,1,1,0.006626359236910514,0.003839170527239749,0.015026750788039705,0.18393907509744167,0.0034379416094029356,0.1161971892612395,0.5898120999336243,-0.06340765208005905,0.2138313204050064
54,original,0.5155012607574463,-0.06435654312372208,0.029892245307564735,1,0.4646799862384796,0.038440000265836716,35,-1.5043343907594684,1,1,1,0.007268414029513699,0.006718368547704937,0.015283629234274827,0.18400388024747372,0.003211167535627796,0.1156564649443171,0.5140898823738098,-0.06147217005491257,0.21389612555503845
55,original,0.5535690784454346,-0.042847614735364914,0.029892245307564735,1,0.48056602478027344,0.03909900411963463,38,-1.9484956678748127,1,1,1,0.00839632268401106,0.004593781065123698,0.015281621565257687,0.18390666507184505,0.002812441673954246,0.11609971921537039,0.5519089102745056,-0.040577445179224014,0.2137989103794098
56,original,0.4075511693954468,0.10092812776565552,0.029892245307564735,1,0.4342973828315735,0.03966248780488968,40,-1.777317877709864,1,1,1,0.005078202431698696,0.0052937936876154695,0.015579522395026553,0.18309388123452663,0.004000789296555304,0.11783000750269845,0.4089394807815552,0.09717594087123871,0.21298612654209137
57,targeted,0.5699044466018677,-0.11695346981287003,0.029892245307564735,1,0.5011064410209656,0.03934428095817566,37,-2.17544623553753,1,1,1,0.009120117783886406,0.005394022560639997,0.014968520894753243,0.1839157547801733,0.0037710638556355397,0.1163221497137608,0.5690720081329346,-0.1132754310965538,0.21380800008773804
58,original,0.44340619444847107,0.06552135944366455,0.029892245307564735,1,0.43728193640708923,0.03372194617986679,37,-1.3802537009119966,1,1,1,0.003545471708520956,0.006140503097017595,0.014939416351668386,0.18384823761880398,0.003196034535814054,0.11659287482800665,0.4427165389060974,0.06240062043070793,0.2137404829263687
59,original,0.47146445512771606,0.04984358698129654,0.029892245307564735,1,0.44480064511299133,0.03883994743227959,35,-1.28625380203128,1,1,1,0.0025979848520332163,0.006978437848470873,0.015136970610235072,0.18396343849599361,0.003006941739935377,0.11567567146768747,0.4702528119087219,0.047091566026210785,0.21385568380355835
60,original,0.4819991886615753,-0.05640481412410736,0.029892245307564735,1,0.4495781362056732,0.03867184370756149,35,-1.3330453144013896,1,1,1,0.005430520492763351,0.0071374180777999926,0.015332331195124806,0.18396899662911892,0.002957602442732328,0.1156244125064234,0.4806472659111023,-0.05377427861094475,0.21386124193668365
61,original,0.569022536277771,-0.04462803527712822,0.029917478561401367,1,0.488778293132782,0.03813786432147026,42,-2.345323737710716,1,1,1,0.006547373327694871,0.003981128466671595,0.015249517741101701,0.1838531494140625,0.0025743287653552356,0.11617704950922571,0.5672000050544739,-0.04280991852283478,0.21377062797546387
62,original,0.47659850120544434,0.042277682572603226,0.029892245307564735,1,0.4459434151649475,0.036795586347579956,35,-1.2699474726617348,1,1,1,0.002457151404775422,0.006789441966473908,0.015128757759249595,0.1839634533971548,0.002775680496818916,0.1156930369254898,0.47529780864715576,0.039825621992349625,0.21385569870471954
63,original,0.5615839958190918,0.09678143262863159,0.029892245307564735,1,0.4924335479736328,0.03948501870036125,38,-2.2079600073397154,1,1,1,0.007692987873764572,0.004427200918616471,0.015049497806554986,0.1838275846093893,0.002054470208031688,0.11617939307710452,0.5603182315826416,0.09516319632530212,0.21371982991695404
64,original,0.42178699374198914,0.10842213034629822,0.029892245307564735,1,0.4395998418331146,0.037556860595941544,38,-1.594473737031219,1,1,1,0.004511749382236346,0.006616757201174688,0.0157405190406316,0.18309794925153255,0.004178355304811732,0.11745230357530195,0.4233457148075104,0.10454539954662323,0.2129901945590973
65,original,0.4436913728713989,-0.046529460698366165,0.029892245307564735,1,0.43493136763572693,0.036845963448286057,36,-1.331422736346723,1,1,1,0.005983121160149235,0.006887607694974089,0.01526106836981375,0.1838399674743414,0.002762257942225969,0.11590879724400242,0.44233372807502747,-0.04412386938929558,0.21373221278190613
66,original,0.46089595556259155,0.04518342390656471,0.029892245307564735,1,0.440500408411026,0.03190990537405014,36,-1.2716935405135166,1,1,1,0.0027390258546642833,0.00632112294642013,0.015084371974946527,0.18391465209424496,0.0028333784484790834,0.11608979923712397,0.45970427989959717,0.04261283203959465,0.2138068974018097
67,targeted,0.4106421172618866,-0.10340407490730286,0.029892880469560623,1,0.4363306760787964,0.03877592459321022,36,-1.3725440460443492,1,0,0,0.0059536929851762245,0.021520961472732223,0.012291950046886525,-6.239861249923706e-07,0.00781745189804764,0.321660515608329,0.41300466656684875,-0.09595216810703278,0.02989225648343563
68,original,0.42632046341896057,0.18752418458461761,0.029892245307564735,1,0.4666038453578949,0.036977749317884445,36,-1.680217913389206,1,1,1,0.0037937106628628506,0.0076604920614552425,0.015600430887781779,0.18342643044888973,0.005000147177008021,0.11622120879151743,0.4284575581550598,0.1830037534236908,0.21331867575645447
69,original,0.5648109316825867,0.1567971408367157,0.029892245307564735,1,0.509276807308197,0.0385003425180912,46,-2.9510388332605366,1,1,1,0.006395529584802485,0.003562410042429659,0.015784638279538916,0.18333426676690578,0.001096739618360521,0.11626860917067401,0.5639542937278748,0.15611229836940765,0.21322651207447052
70,original,0.5321927070617676,-0.0012067488860338926,0.029892245307564735,1,0.4680016338825226,0.03937620669603348,35,-1.5559106743335738,1,1,1,0.006762591078968723,0.005739500082867946,0.014978083571692906,0.18399380706250668,0.0016777510528064512,0.11553770874353417,0.5305221676826477,-0.0010513565503060818,0.2138860523700714
71,original,0.5056954026222229,-0.03952404484152794,0.029892245307564735,1,0.4575536549091339,0.03609883785247803,35,-1.3762017779052265,1,1,1,0.006332114195427938,0.006781551406707116,0.015317014368663454,0.1839748527854681,0.0030972424408391864,0.11568091089495716,0.5041494369506836,-0.03684022277593613,0.21386709809303284
72,targeted,0.4463229775428772,-0.1439034342765808,0.02989296242594719,1,0.45563647150993347,0.03925730288028717,39,-1.6935805933177468,1,1,1,0.009659167093825,0.005901158377221317,0.015028725005375946,0.18386569991707802,0.004474977973744662,0.11665992285408719,0.4466521739959717,-0.13944058120250702,0.2137586623430252
73,original,0.5031497478485107,-0.04577353969216347,0.029892245307564735,1,0.45703762769699097,0.03635711595416069,35,-1.3745645026862618,1,1,1,0.006237313330424537,0.006829067365455717,0.015329154173194892,0.18396308086812496,0.0030063866119129615,0.11566278768274768,0.5016331076622009,-0.04317774251103401,0.2138553261756897
74,original,0.44991132616996765,-0.027395550161600113,0.029892245307564735,1,0.4353041350841522,0.033496301621198654,36,-1.2743777893483648,1,1,1,0.004829410068024976,0.006367165263392567,0.015095319255221964,0.18384460173547268,0.002407233010547206,0.11588244032238403,0.44862473011016846,-0.025360988453030586,0.21373684704303741
75,targeted,0.56833416223526,-0.14145244657993317,0.029892245307564735,1,0.5065720081329346,0.03787415847182274,39,-2.3621713113784795,1,1,1,0.008513290689968913,0.004739828809756776,0.014962441666392262,0.18389125727117062,0.0038913577054331787,0.11648539932326225,0.5676491856575012,-0.13762184977531433,0.21378350257873535
76,original,0.5634113550186157,-0.06319674849510193,0.029892245307564735,1,0.4879054129123688,0.03886467590928078,38,-2.092519760876895,1,1,1,0.008293338968651977,0.00462914134020118,0.01515047717100539,0.18397106789052486,0.003417280883147853,0.11613616683674775,0.5618442893028259,-0.06015995517373085,0.2138633131980896
77,original,0.4070136547088623,-0.020846690982580185,0.029892245307564735,1,0.4227937161922455,0.0347207635641098,38,-1.537582498788833,1,1,1,0.005564973166442059,0.005481915326766536,0.01464743354993016,0.18371479772031307,0.0026601234612588023,0.1164975879378936,0.405832976102829,-0.01846294291317463,0.2136070430278778
78,original,0.48321887850761414,-0.007832917384803295,0.029892245307564735,1,0.4465743899345398,0.03515037149190903,35,-1.2525300909578823,1,1,1,0.0031941964451246115,0.00637949055853177,0.015043150007992941,0.1839443650096655,0.0024063129122131608,0.11558736717036903,0.4818214476108551,-0.005873956251889467,0.21383661031723022
79,original,0.5549178123474121,0.14809729158878326,0.029870985075831413,1,0.5017898678779602,0.03860364109277725,44,-2.6503422516584374,1,1,1,0.006319038064237662,0.0034203111072877847,0.015721504138422427,0.18345661647617817,0.0011497567081621475,0.11630928961874364,0.5541815757751465,0.14721417427062988,0.21332760155200958
80,targeted,0.5864677429199219,-0.13701757788658142,0.029892245307564735,1,0.514962375164032,0.039794012904167175,39,-2.5899101406335836,1,1,1,0.0087577234358483,0.004708224237154628,0.014972090614785038,0.18384251557290554,0.0037609159043235406,0.11644683360806753,0.5856810212135315,-0.13333986699581146,0.21373476088047028
81,original,0.4007636606693268,0.015300954692065716,0.029892245307564735,1,0.42112135887145996,0.03877238929271698,38,-1.6103453183174157,1,1,1,0.004326802834787042,0.005052187504508398,0.014512520692994765,0.18369256518781185,0.0015608262229737976,0.11659322920732339,0.3994661271572113,0.016168471425771713,0.2135848104953766
82,original,0.4347471296787262,-0.005810865201056004,0.029892245307564735,1,0.429731547832489,0.038835350424051285,36,-1.3325030267238622,1,1,1,0.004306148831898792,0.0061872688864046945,0.0148770019264809,0.18379775248467922,0.0023649591736060525,0.1158637739826897,0.4335140287876129,-0.0037928230594843626,0.21368999779224396
83,original,0.49268507957458496,0.01858990453183651,0.029892245307564735,1,0.4507087469100952,0.0337536595761776,35,-1.277450771778824,1,1,1,0.0025204374011170414,0.006347461110639563,0.015096656887340392,0.1839601006358862,0.0023000165452694895,0.11563939986245668,0.4912199378013611,0.01681693084537983,0.21385234594345093
84,targeted,0.5145841836929321,-0.11052130907773972,0.029892245307564735,1,0.47288385033607483,0.03387411683797836,36,-1.5546508426964278,1,1,1,0.00783544754784682,0.006426046696957563,0.015112455660919259,0.1838867273181677,0.00395171560523175,0.11631800075423089,0.5142660737037659,-0.10658241808414459,0.21377897262573242
85,original,0.503328263759613,0.15521648526191711,0.029892245307564735,1,0.48057296872138977,0.036765847355127335,36,-1.7490396410226818,1,1,1,0.00697671896522083,0.006416104576204874,0.015484632730415128,0.18357752822339535,0.0033667973550848183,0.11614666660881867,0.5038166642189026,0.15188530087471008,0.21346977353096008
86,original,0.5642008781433105,0.07036854326725006,0.029892245307564735,1,0.48930060863494873,0.03740473836660385,38,-2.130675856322049,1,1,1,0.007560039867025167,0.004186354855612491,0.01493119339523558,0.18396908603608608,0.0021625362737273065,0.11606092812250575,0.5626102089881897,0.06890350580215454,0.21386133134365082
87,targeted,0.5805181264877319,-0.11829666048288345,0.029892245307564735,1,0.5070667266845703,0.03855713829398155,38,-2.363192813843491,1,1,1,0.008863564330878227,0.0049222930526313675,0.014976977022559962,0.18386865220963955,0.0037419708199605884,0.11641702592659092,0.5796712040901184,-0.11465179175138474,0.21376089751720428
88,original,0.40399378538131714,0.18705174326896667,0.029892245307564735,1,0.4612087309360504,0.03277820348739624,37,-1.7472718742489821,1,1,1,0.00366511699259422,0.007579754099526186,0.01575559768533804,0.18322273157536983,0.0053944254360018965,0.11650976730931507,0.4067825675010681,0.1824341118335724,0.21311497688293457
89,targeted,0.5351125001907349,-0.1758498102426529,0.029892245307564735,1,0.5012690424919128,0.03682940825819969,42,-2.439761339873077,1,1,1,0.007495575269741734,0.004675755347111436,0.014965055412254768,0.1839622911065817,0.004220088019166578,0.11662118330484313,0.5347170233726501,-0.1716482937335968,0.21385453641414642
90,original,0.4735749363899231,0.016015058383345604,0.029892245307564735,1,0.4430782198905945,0.0363650768995285,35,-1.2418200680613536,1,1,1,0.0022827778919259434,0.006455572891282372,0.015057286364231861,0.18392912112176418,0.0017708945819666115,0.11552192244213033,0.4721739590167999,0.014931854791939259,0.21382136642932892
