source_episode,object_x,object_y,policy,safe_x,success,pregrasp_distance,high_error,descent_error,descent_residual_x,descent_residual_y,descent_residual_z,inward_error,inward_residual_x,inward_residual_y,inward_residual_z,lift_error,object_lift
14,0.4063156247138977,-0.0965389907360076,original,0.44,0,0.039500731974840164,0.00881418506334493,0.021996166218288517,0.0026753568649292014,-0.005183480679988861,-0.021208614334464082,0.032528248717710116,-0.023494094610214233,-0.004826650023460388,-0.021973118409514436,0.013023956124094594,-3.028661012649536e-06
27,0.4140132665634155,-0.096694678068161,original,0.44,0,0.038622889667749405,0.008341068465308549,0.022065764132320344,0.002730282545089724,-0.0051314979791641235,-0.021286409571766862,0.028626427447976374,-0.017816752195358276,-0.004775941371917725,-0.021891232803463945,0.012959976587846858,-3.0174851417541504e-06
28,0.4204081296920776,-0.1092793270945549,targeted,0.44,0,0.03632752597332001,0.009138603760046427,0.022086907915475667,0.0027373456954956077,-0.004246138036251068,-0.02150136627256871,0.02518678378687324,-0.012449920177459717,-0.004386521875858307,-0.021450687423348436,0.0125061321825349,-3.3229589462280273e-06
29,0.4126269817352295,-0.1127190440893173,targeted,0.44,0,0.03791622444987297,0.010109193709839662,0.022064028710804363,0.002842547893524172,-0.004255138337612152,-0.021462410911917695,0.028591696002796894,-0.018203318119049072,-0.004475906491279602,-0.021589130386710176,0.01266887707689806,1.1548399925231934e-07
32,0.4252530634403229,-0.1087189391255378,targeted,0.44,0,0.03552308306097984,0.008606486494511428,0.02211189225240929,0.002624931335449221,-0.004259981215000153,-0.021538293212652215,0.023541131035218276,-0.008747607469558716,-0.004300139844417572,-0.02142832264304162,0.012447385660401378,-5.153939127922058e-06
67,0.4106421172618866,-0.1034040749073028,targeted,0.44,0,0.037347082048654556,0.010260139305244107,0.022049729980999678,0.0030289614200592063,-0.004230476915836334,-0.02142706349492074,0.029694637691327234,-0.019891709089279175,-0.004522800445556641,-0.021578593403100976,0.012707586759126605,-2.3301690816879272e-06
14,0.4063156247138977,-0.0965389907360076,original,0.45,1,0.039500731974840164,0.009179733265711684,0.004442845057002571,0.0013792335987091175,-0.0034362301230430603,-0.002455383762717256,0.02079985606129931,-0.017595350742340088,-0.0031901895999908447,-0.0106235744804144,0.01530599750332501,0.17243132553994656
27,0.4140132665634155,-0.096694678068161,original,0.45,1,0.038622889667749405,0.008650548231668395,0.004419531817868181,0.0013409972190857045,-0.003426872193813324,-0.0024475569278001874,0.017316638817444694,-0.015011012554168701,-0.0030988752841949463,-0.008058067634701738,0.01544575067003912,0.1744756568223238
28,0.4204081296920776,-0.1092793270945549,targeted,0.45,1,0.03632752597332001,0.01038488253476469,0.006387599893880379,0.0017065227031707875,-0.003370530903339386,-0.0051506052166223615,0.015093914404687166,-0.013336509466171265,-0.003022506833076477,-0.0063896963745355695,0.015158133414768965,0.18332230485975742
29,0.4126269817352295,-0.1127190440893173,targeted,0.45,1,0.03791622444987297,0.011308302743271702,0.006416792778018288,0.0017571270465850941,-0.0033625438809394836,-0.005175039395689973,0.019037790211748506,-0.016128629446029663,-0.003151431679725647,-0.009611100181937227,0.015159138424161465,0.17304282449185848
