episode,policy,object_x,object_y,object_z,pregrasp_success,initial_pregrasp_distance,final_pregrasp_distance,rl_steps,rl_reward,grasp_attempted,grasp_success,full_pipeline_success,alignment_error,descent_error,lift_tracking_error,object_lift_m,object_xy_motion_m,final_hand_object_distance_m,object_final_x,object_final_y,object_final_z
14,original,0.4063156247138977,-0.0965389907360076,0.0298954471945762,1,0.4333574473857879,0.0395824946463108,48,-2.408741915225981,1,0,0,0.0081371104613339,0.0221534093870124,0.0125300504443767,-3.1907111406326294e-06,0.0120405104337826,0.3220681712966881,0.4087662994861603,-0.0847505182027816,0.0298922564834356
27,original,0.4140132665634155,-0.096694678068161,0.0298928394913673,1,0.4352304935455322,0.0397768020629882,46,-2.248232105225327,1,0,0,0.008026272636403,0.0221074142447178,0.0126107302389383,-5.830079317092896e-07,0.0137667438007899,0.3221653696304035,0.4169292151927948,-0.0832402929663658,0.0298922564834356
28,targeted,0.4204081296920776,-0.1092793270945549,0.0298922564834356,1,0.4403980076313019,0.0386438034474849,36,-1.3690365751087663,1,0,0,0.0062844014021663,0.0215657768694237,0.0123481923122009,0.0,0.009113007813129,0.3217686785977812,0.4239169657230377,-0.1008689180016517,0.0298922564834356
29,targeted,0.4126269817352295,-0.1127190440893173,0.0298922564834356,1,0.4401118159294128,0.0335916206240654,37,-1.4050424644351,1,0,0,0.0075850292467229,0.0217599170665297,0.0122838551900659,0.0,0.0068390354575524,0.3218266163498849,0.4152795076370239,-0.1064153537154197,0.0298922564834356
32,targeted,0.4252530634403229,-0.1087189391255378,0.029892137274146,1,0.4414415657520294,0.0377167835831642,36,-1.35243198156357,1,0,0,0.0063545932615047,0.0215568936359833,0.0123831598191161,1.1920928955078125e-07,0.0099703392999409,0.3217902029892539,0.4289637506008148,-0.0994648337364196,0.0298922564834356
67,targeted,0.4106421172618866,-0.1034040749073028,0.0298928804695606,1,0.4363306760787964,0.0387759245932102,36,-1.3725440460443492,1,0,0,0.0059536929851762,0.0215209614727322,0.0122919500468865,-6.239861249923706e-07,0.0078174518980476,0.321660515608329,0.4130046665668487,-0.0959521681070327,0.0298922564834356
