episode,policy,object_x,object_y,object_z,pregrasp_success,initial_pregrasp_distance,final_pregrasp_distance,rl_steps,rl_reward,grasp_attempted,grasp_success,full_pipeline_success,alignment_error,descent_error,lift_tracking_error,object_lift_m,object_xy_motion_m,final_hand_object_distance_m,object_final_x,object_final_y,object_final_z
1,original,0.4999237656593323,0.138254702091217,0.0298922453075647,1,0.4739699363708496,0.0339011177420616,36,-1.6364992311596858,1,1,1,0.0057388186850519,0.0064125015649228,0.015436074475022,0.1836072411388158,0.0033440217352764,0.1162115489011348,0.5002776980400085,0.1349294632673263,0.2134994864463806
2,original,0.4711306095123291,0.130684956908226,0.0298922453075647,1,0.4607950747013092,0.0327890701591968,36,-1.4753104931116106,1,1,1,0.0025328095500313,0.0069019008851707,0.0155417223480467,0.1834985222667455,0.0038649531543776,0.1163075573944538,0.4719637334346771,0.1269108653068542,0.2133907675743103
3,original,0.4637109637260437,0.0857424437999725,0.0298922453075647,1,0.447465181350708,0.0365717448294162,36,-1.3824054683744942,1,1,1,0.003314672476406,0.0068420726427735,0.0151529869517287,0.1837469991296529,0.0035557579801087,0.1163289844559782,0.463620126247406,0.0821878463029861,0.2136392444372177
4,original,0.5877706408500671,0.0975202620029449,0.0298922453075647,1,0.506608784198761,0.0396517738699913,44,-2.9197549976408474,1,1,1,0.0066458809067522,0.0036548039759777,0.0151375877897913,0.1837533619254827,0.001698464012241,0.1162341344166095,0.5860910415649414,0.0972678214311599,0.2136456072330474
5,targeted,0.4752542078495025,-0.1347873657941818,0.0298922453075647,1,0.4634562134742737,0.0376959703862667,37,-1.5630620871484258,1,1,1,0.0085520000245943,0.0064623939212753,0.015106983022633,0.183872913941741,0.0043125353796965,0.1164757410077288,0.475418210029602,-0.130477949976921,0.2137651592493057
6,targeted,0.5236681699752808,-0.1381833851337433,0.0298922453075647,1,0.4840995669364929,0.0368332155048847,38,-1.8637930177152129,1,1,1,0.0087345721482791,0.0052711712778952,0.0150041762111798,0.1839701291173696,0.0040856522438844,0.1165080139847326,0.5231707692146301,-0.1341281235218048,0.2138623744249344
7,original,0.4905300438404083,0.0782085061073303,0.0298922453075647,1,0.4561949074268341,0.0380828008055686,35,-1.3881455224752433,1,1,1,0.0026123530963013,0.0069228130400997,0.0150540171614954,0.1839724835008382,0.0033528862212328,0.1157999817283552,0.4897791445255279,0.0749407857656478,0.213864728808403
8,targeted,0.4446248412132263,-0.1590724736452102,0.0298933517187833,1,0.4598969221115112,0.0391070544719696,44,-2.0819876520335674,1,1,1,0.0084014876995289,0.0050594017609742,0.0150629909144931,0.1840154994279146,0.0042465553287324,0.1167297157552541,0.4448557198047638,-0.1548321992158889,0.213908851146698
9,original,0.5867630243301392,0.1425125151872635,0.0298922453075647,1,0.5166113972663879,0.0383906699717044,48,-3.3465197224915,1,1,1,0.0064608394773977,0.0038233047839932,0.015617264173058,0.1833067145198583,0.0012131670832703,0.1161989375590252,0.5855504870414734,0.142473429441452,0.2131989598274231
10,original,0.4299647808074951,0.0164455659687519,0.0298922453075647,1,0.4286106526851654,0.0326416157186031,37,-1.3552109988033774,1,1,1,0.0034635358535879,0.0053837442757172,0.0148485834987665,0.1837734039872884,0.0013003090726474,0.116165643688745,0.4286668598651886,0.0165243372321128,0.2136656492948532
