episode,global_step,reward,length,success,final_distance,success_rate_20,mean_reward_20,alpha
1,98,-5.413721036463971,98,1,0.03393794223666191,1.0,-5.413721036463971,0.007166056428104639
2,218,-8.775252568144351,120,0,0.06682202219963074,0.5,-7.094486802304161,0.007166056428104639
3,338,-13.17952163398265,120,0,0.10847033560276031,0.3333333333333333,-9.122831746196992,0.007006139028817415
4,394,-4.080032340995966,56,1,0.03226500004529953,0.5,-7.862131894896735,0.006922263652086258
5,514,-21.10315678557381,120,0,0.13344691693782806,0.4,-10.51033687303215,0.006805643439292908
6,556,-0.47624764427542754,42,1,0.03375096991658211,0.5,-8.837988668239364,0.006769930012524128
7,596,-0.7234922442957767,40,1,0.034163083881139755,0.5714285714285714,-7.678774893390279,0.006745710503309965
8,614,3.544731820076703,18,1,0.029514368623495102,0.625,-6.275836554206906,0.006735819857567549
9,734,-12.451825767753183,120,0,0.09115049988031387,0.5555555555555556,-6.962057577934271,0.0066831051371991634
10,774,-0.35161530151963216,40,1,0.029663586989045143,0.6,-6.3010133502928065,0.0066668251529335976
11,822,-3.0430609346926216,48,1,0.03496961668133736,0.6363636363636364,-6.004835857965517,0.0066535877995193005
12,868,-2.0025816872715936,46,1,0.030875883996486664,0.6666666666666666,-5.671314677074356,0.006647708360105753
13,916,-1.9243158949166546,48,1,0.03437380865216255,0.6923076923076923,-5.383084001523764,0.006646523252129555
14,1036,-13.645074192602188,120,0,0.1058216467499733,0.6428571428571429,-5.973226158029367,0.006646313704550266
15,1156,-11.908294433876867,120,0,0.060421694070100784,0.6,-6.368897376419199,0.006656964309513569
16,1276,-19.85825050968443,120,0,0.1533384919166565,0.5625,-7.211981947248275,0.0066817766055464745
17,1396,-10.244036817308514,120,0,0.06340432167053223,0.5294117647058824,-7.390338116075348,0.006681913509964943
18,1516,-12.819820719414848,120,0,0.09460954368114471,0.5,-7.691976038483097,0.006667734123766422
19,1636,-8.092395938877015,120,0,0.055687371641397476,0.47368421052631576,-7.713050770082777,0.006651177071034908
20,1756,-8.983790278336963,120,0,0.05866241082549095,0.45,-7.776587745495486,0.006614971440285444
21,1778,2.4869857209920876,22,1,0.03303215280175209,0.45,-7.381552407622683,0.006606026086956263
22,1898,-11.459532563462853,120,0,0.06644710898399353,0.45,-7.515766407388609,0.006554977037012577
23,2018,-8.508562358492053,120,0,0.07336288690567017,0.45,-7.282218443614079,0.006480806041508913
24,2138,-10.764225391056392,120,0,0.08147154748439789,0.4,-7.6164280961171,0.006397323217242956
25,2258,-9.257661753986033,120,0,0.04871929809451103,0.4,-7.024153344537713,0.006309218239039183
26,2378,-7.660916422419249,120,0,0.05145790055394173,0.35,-7.383386783444905,0.006228483747690916
27,2498,-9.23244344498962,120,0,0.05505744740366936,0.3,-7.808834343479598,0.006149213295429945
28,2618,-10.552897372012955,120,0,0.037959810346364975,0.25,-8.513715803084079,0.006074385717511177
29,2637,3.395705358088016,19,1,0.028849920257925987,0.3,-7.72133924679202,0.006062732543796301
30,2661,1.8253391692042351,24,1,0.03481487184762955,0.3,-7.612491523255827,0.006048791576176882
31,2699,-0.01166759336367118,38,1,0.03419073671102524,0.3,-7.460921856189378,0.006026079878211021
32,2819,-8.204781322045601,120,0,0.05219864100217819,0.25,-7.771031837928078,0.005954451393336058
33,2847,1.2410475648939614,28,1,0.028714057058095932,0.25,-7.612763664937548,0.005938476417213678
34,2869,2.921641026735306,22,1,0.032068513333797455,0.3,-6.784427903970672,0.005925735924392939
35,2915,-1.5055162042379377,46,1,0.03248286247253418,0.35,-6.264288992488727,0.005901510827243328
36,3035,-10.512422767579558,120,0,0.08865344524383545,0.35,-5.796997605383483,0.005835254210978746
37,3072,0.7727110189571977,37,1,0.033292241394519806,0.4,-5.246160213570198,0.005812563002109528
38,3099,1.6033522546291357,27,1,0.03346967324614525,0.45,-4.525001564867998,0.005796722136437893
39,3118,3.1910136945545675,19,1,0.027026288211345673,0.5,-3.960831083196419,0.005785676185041666
