episode,success,initial_distance_m,final_distance_m,steps,episode_reward,target_x,target_y,target_z,final_ee_x,final_ee_y,final_ee_z
1,1,0.2533145546913147,0.03129333630204201,23,2.8668506923317914,0.4036804437637329,0.06995658576488495,0.36681708693504333,0.4059795141220093,0.07650759071111679,0.39733055233955383
2,1,0.22218157351016998,0.03478866443037987,17,3.568690876364708,0.4611501395702362,-0.07254133373498917,0.44762957096099854,0.42868489027023315,-0.06156371533870697,0.45360875129699707
3,1,0.39535462856292725,0.03267572075128555,35,-0.36807177573442384,0.6215431094169617,-0.1613233983516693,0.4131962060928345,0.5901368856430054,-0.1545107364654541,0.4191071689128876
4,1,0.29022353887557983,0.034778740257024765,33,1.9970279966294755,0.43949082493782043,0.23348109424114227,0.4799625277519226,0.4474884271621704,0.22820168733596802,0.4465301036834717
5,1,0.33959949016571045,0.034374915063381195,28,1.527097391188145,0.5407612323760986,0.1263660490512848,0.37878841161727905,0.508506715297699,0.12649990618228912,0.39067381620407104
6,1,0.38796305656433105,0.03391977772116661,35,-0.32674581632018107,0.5977685451507568,-0.025809727609157562,0.33470311760902405,0.5657346248626709,-0.03277527540922165,0.3259933292865753
7,1,0.2798064053058624,0.030962010845541954,20,2.9875254459679126,0.4333697557449341,-0.13683347404003143,0.381454199552536,0.4403952360153198,-0.11317509412765503,0.40015098452568054
8,1,0.38721764087677,0.0347081795334816,34,0.13422498524188953,0.47927361726760864,0.08159030973911285,0.2532101273536682,0.4801102578639984,0.09916049242019653,0.28313079476356506
9,1,0.34770944714546204,0.029937129467725754,25,1.5025378324091436,0.4843105673789978,-0.06740959733724594,0.2988494038581848,0.48075202107429504,-0.08532068878412247,0.3225719928741455
10,1,0.3470603823661804,0.03202933445572853,30,1.1305413688719272,0.5284597277641296,-0.03234342113137245,0.3249978721141815,0.5104714632034302,-0.04757044464349747,0.30330827832221985
11,1,0.2571662664413452,0.02820982038974762,19,3.305450478941202,0.4128248393535614,0.1873120218515396,0.4493655860424042,0.4106975495815277,0.15936008095741272,0.44621002674102783
12,1,0.25951123237609863,0.03465619683265686,28,2.256945076733828,0.5320128798484802,-0.07744970917701721,0.48670494556427,0.5244447588920593,-0.07510802894830704,0.4529663622379303
13,1,0.24358303844928741,0.0343468114733696,26,2.5211333319544798,0.5190132260322571,-0.03361862897872925,0.4751124083995819,0.498979777097702,-0.025505462661385536,0.4484189450740814
14,1,0.3121074140071869,0.033534932881593704,27,1.957641496062279,0.4458025395870209,0.09799743443727493,0.3284550905227661,0.45059332251548767,0.10828344523906708,0.3600119948387146
15,1,0.324176549911499,0.03411373496055603,30,1.4947607025504115,0.42846590280532837,0.10042044520378113,0.3069729804992676,0.43919286131858826,0.11506517976522446,0.3358556926250458
16,1,0.35202741622924805,0.0345216765999794,26,1.204351460933685,0.4979330897331238,0.040014225989580154,0.29722657799720764,0.4778713881969452,0.01971062272787094,0.3166440427303314
17,1,0.3218730390071869,0.03397545963525772,29,1.2420550067722798,0.5693721771240234,0.024241533130407333,0.40537580847740173,0.5354463458061218,0.02246258035302162,0.40582871437072754
18,1,0.26907235383987427,0.031805261969566345,19,2.9759163162112237,0.4616432785987854,-0.039903368800878525,0.3737074136734009,0.4450102746486664,-0.04885152727365494,0.39929741621017456
19,1,0.282779335975647,0.032708264887332916,22,2.655699823796749,0.4909912645816803,0.08781961351633072,0.3942943811416626,0.4670524299144745,0.08371364325284958,0.41620108485221863
20,0,0.33215078711509705,0.04039262607693672,120,-7.139086447861047,0.4748811721801758,-0.24909882247447968,0.44850775599479675,0.49750563502311707,-0.21671169996261597,0.4569203853607178
21,1,0.3055932819843292,0.03184492513537407,22,2.378060280680656,0.5058152675628662,-0.08672767132520676,0.37498876452445984,0.47613421082496643,-0.09822221100330353,0.3739839792251587
22,1,0.23368310928344727,0.034012969583272934,23,3.134973318427802,0.3780337870121002,0.20235203206539154,0.4974340498447418,0.3889148533344269,0.18872597813606262,0.46823105216026306
23,1,0.18325723707675934,0.034484487026929855,29,3.0380405863374476,0.3676205575466156,-0.07088439166545868,0.4325161576271057,0.3412283957004547,-0.05002976208925247,0.4401133954524994
24,1,0.275168776512146,0.0309054646641016,22,2.6943792250752447,0.44427141547203064,0.033524878323078156,0.3541427552700043,0.43631723523139954,0.03215812146663666,0.3839758038520813
25,1,0.3771883249282837,0.03474412113428116,48,-0.6418787436187259,0.5822636485099792,0.22923220694065094,0.47209885716438293,0.5491055846214294,0.23228661715984344,0.46218082308769226
26,1,0.3035244643688202,0.03358396887779236,25,2.0513857936859132,0.536280632019043,-0.16986283659934998,0.4867655336856842,0.5094590187072754,-0.16727173328399658,0.4667213261127472
27,1,0.29251521825790405,0.03466911241412163,44,0.8248670090734969,0.35708972811698914,-0.10114527493715286,0.3204033672809601,0.3345910906791687,-0.07852724194526672,0.33397477865219116
28,1,0.4004410207271576,0.03378044068813324,39,-0.5124704866111278,0.5515477657318115,-0.006318466737866402,0.2732221484184265,0.529147207736969,0.002102653030306101,0.24938063323497772
29,1,0.22842161357402802,0.032231539487838745,23,3.0239662036299704,0.3538573682308197,0.05215787515044212,0.3728708326816559,0.3633415102958679,0.06953516602516174,0.39830610156059265
30,1,0.2545049786567688,0.03426865488290787,25,2.4448910631239413,0.5304146409034729,0.032011933624744415,0.47261476516723633,0.49698594212532043,0.03504263982176781,0.4657098650932312
31,1,0.36974063515663147,0.032313015311956406,35,-0.17997065439820137,0.6255190372467041,-0.1558714210987091,0.48553022742271423,0.593326210975647,-0.15432894229888916,0.48784834146499634
32,1,0.3370363712310791,0.03462778404355049,34,0.7465392935276034,0.5863179564476013,0.06951312720775604,0.41490182280540466,0.5571971535682678,0.07538337260484695,0.4326951503753662
33,1,0.4071740210056305,0.033245667815208435,32,0.45559862524270933,0.5138180255889893,0.20863164961338043,0.30831581354141235,0.48317378759384155,0.1964891403913498,0.30398398637771606
34,1,0.41025206446647644,0.03252417966723442,32,0.19533982008695627,0.5297947525978088,0.15712152421474457,0.28369036316871643,0.5018324255943298,0.15048536658287048,0.29891836643218994
35,1,0.27623677253723145,0.029349252581596375,29,2.0444034142792216,0.5346524715423584,-0.0485832616686821,0.44150909781455994,0.5240488052368164,-0.04514339193701744,0.41435936093330383
36,1,0.15077972412109375,0.03448449820280075,13,4.305717875957489,0.3703143000602722,0.05340719223022461,0.4642696678638458,0.35896414518356323,0.05323181301355362,0.4968322813510895
37,1,0.3043915331363678,0.03499826788902283,28,1.875918540209533,0.5385043621063232,-0.08933115005493164,0.41394901275634766,0.5244614481925964,-0.10047747939825058,0.3838918209075928
38,1,0.3506307005882263,0.03414696455001831,34,0.8377294579148291,0.4514458477497101,0.08429639786481857,0.2820861041545868,0.46075209975242615,0.10324772447347641,0.3089236915111542
39,0,0.4155225157737732,0.04238292947411537,120,-8.909693362172693,0.4339975118637085,-0.23364080488681793,0.27097734808921814,0.46949490904808044,-0.21106524765491486,0.27613407373428345
40,1,0.3263060748577118,0.03242909163236618,23,2.117656182497739,0.5164308547973633,-0.134150892496109,0.37902066111564636,0.48461514711380005,-0.1403796672821045,0.3782402575016022
41,1,0.39697539806365967,0.0312572605907917,33,0.4703569632768625,0.5478708148002625,0.19059309363365173,0.3387652635574341,0.5179088711738586,0.1817851960659027,0.34007641673088074
42,1,0.35282668471336365,0.033134929835796356,27,1.2480389548838131,0.4456036686897278,-0.09316662698984146,0.27946239709854126,0.4714450240135193,-0.09055715799331665,0.30003759264945984
43,1,0.3651981055736542,0.03462402522563934,30,1.0628131221234791,0.548954963684082,0.15982729196548462,0.3682512044906616,0.5151692628860474,0.15363167226314545,0.37260594964027405
44,1,0.3524942994117737,0.03454906493425369,32,1.1709773087501527,0.5174891948699951,0.2292400598526001,0.42472878098487854,0.4971758723258972,0.2172359824180603,0.39949172735214233
45,1,0.4369495213031769,0.03245294839143753,38,-0.7191497507691373,0.573510468006134,0.19474917650222778,0.30394765734672546,0.5425875782966614,0.18643128871917725,0.30921846628189087
46,1,0.29205963015556335,0.03327963873744011,28,1.9940603516995914,0.545049786567688,0.10869725048542023,0.4605569839477539,0.512501060962677,0.11466275155544281,0.46409639716148376
47,1,0.25699383020401,0.03269199654459953,20,3.119521898031235,0.4531356394290924,0.09439735114574432,0.40110015869140625,0.4402112066745758,0.09056959301233292,0.4308839440345764
48,1,0.3614653944969177,0.026361767202615738,23,1.8280229295790202,0.472808301448822,-0.19915711879730225,0.3382621109485626,0.468368798494339,-0.18032482266426086,0.356166809797287
