episode,reach_policy,object_x,object_y,object_z,pregrasp_success,pregrasp_error,rl_steps,risk_region,grasp_strategy,grasp_success,full_success,object_lift,direct_or_staged
84,targeted,0.5145841836929321,-0.11052130907773972,0.029892245307564735,1,0.03387411683797836,36,0,direct,1,1,0.1838867273181677,direct
85,original,0.503328263759613,0.15521648526191711,0.029892245307564735,1,0.036765847355127335,36,0,direct,1,1,0.18357752822339535,direct
86,original,0.5642008781433105,0.07036854326725006,0.029892245307564735,1,0.03740473836660385,38,0,direct,1,1,0.18396908603608608,direct
87,targeted,0.5805181264877319,-0.11829666048288345,0.029892245307564735,1,0.03855713829398155,38,0,direct,1,1,0.18386865220963955,direct
88,original,0.40399378538131714,0.18705174326896667,0.029892245307564735,1,0.03277820348739624,37,0,direct,1,1,0.18322273157536983,direct
89,targeted,0.5351125001907349,-0.1758498102426529,0.029892245307564735,1,0.03682940825819969,42,0,direct,1,1,0.1839622911065817,direct
90,original,0.4735749363899231,0.016015058383345604,0.029892245307564735,1,0.0363650768995285,35,0,direct,1,1,0.18392912112176418,direct
91,original,0.4320499897003174,0.009947794489562511,0.029892245307564735,1,0.0316377729177475,37,0,direct,1,1,0.18376891873776913,direct
92,targeted,0.5928379893302917,-0.12483175843954086,0.029892245307564735,1,0.03937261551618576,39,0,direct,1,1,0.1838154699653387,direct
93,original,0.40197429060935974,-0.04450289532542229,0.029892245307564735,1,0.03872121870517731,38,1,staged,1,1,0.18375287018716335,staged
94,original,0.485309898853302,-0.08567409217357635,0.029892245307564735,1,0.037813495844602585,36,0,direct,1,1,0.18398391269147396,direct
95,original,0.5834648013114929,0.14878030121326447,0.029892245307564735,1,0.03826240822672844,48,0,direct,1,1,0.18327862583100796,direct
96,targeted,0.5009018182754517,-0.10504918545484543,0.029892245307564735,1,0.039190154522657394,35,0,direct,1,1,0.18394058011472225,direct
97,original,0.5323834419250488,-0.031801383942365646,0.029892245307564735,1,0.03364000469446182,36,0,direct,1,1,0.18400987051427364,direct
98,original,0.49490949511528015,-0.07566270232200623,0.029892245307564735,1,0.032254911959171295,36,0,direct,1,1,0.18398027680814266,direct
99,original,0.5934318900108337,0.12252309173345566,0.029892245307564735,1,0.03913695365190506,47,0,direct,1,1,0.18344820104539394,direct
100,original,0.509613037109375,0.18724627792835236,0.029892245307564735,1,0.038730643689632416,37,0,direct,1,1,0.1834301706403494,direct
